surp_col,name,reread
google-gemma-7b-Surprisal-Context-fillerP-P,fillP-P,1
google-gemma-7b-Surprisal-Context-fillerQ-P,fillQ-P,0
google-gemma-7b-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
google-gemma-7b-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
google-gemma-7b-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
google-gemma-7b-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
google-gemma-7b-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
google-gemma-7b-Surprisal-Context-P,P,both
google-gemma-7b-Surprisal-Context-P-P,P-P,1
google-gemma-7b-Surprisal-Context-Q-P,Q-P,0
google-gemma-7b-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
google-gemma-7b-Surprisal-Context-textFillP-P,textFillP-P,1
google-gemma-7b-Surprisal-Context-textFillQ-P,textFillQ-P,0
google-gemma-7b-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-fillerP-P,fillP-P,1
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-fillerQ-P,fillQ-P,0
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-P,P,both
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-P-P,P-P,1
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-Q-P,Q-P,0
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-textFillP-P,textFillP-P,1
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-textFillQ-P,textFillQ-P,0
meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
meta-llama-Llama-2-13b-hf-Surprisal-Context-fillerP-P,fillP-P,1
meta-llama-Llama-2-13b-hf-Surprisal-Context-fillerQ-P,fillQ-P,0
meta-llama-Llama-2-13b-hf-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
meta-llama-Llama-2-13b-hf-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
meta-llama-Llama-2-13b-hf-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
meta-llama-Llama-2-13b-hf-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
meta-llama-Llama-2-13b-hf-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
meta-llama-Llama-2-13b-hf-Surprisal-Context-P,P,both
meta-llama-Llama-2-13b-hf-Surprisal-Context-P-P,P-P,1
meta-llama-Llama-2-13b-hf-Surprisal-Context-Q-P,Q-P,0
meta-llama-Llama-2-13b-hf-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
meta-llama-Llama-2-13b-hf-Surprisal-Context-textFillP-P,textFillP-P,1
meta-llama-Llama-2-13b-hf-Surprisal-Context-textFillQ-P,textFillQ-P,0
meta-llama-Llama-2-13b-hf-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
meta-llama-Llama-2-70b-hf-Surprisal-Context-fillerP-P,fillP-P,1
meta-llama-Llama-2-70b-hf-Surprisal-Context-fillerQ-P,fillQ-P,0
meta-llama-Llama-2-70b-hf-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
meta-llama-Llama-2-70b-hf-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
meta-llama-Llama-2-70b-hf-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
meta-llama-Llama-2-70b-hf-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
meta-llama-Llama-2-70b-hf-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
meta-llama-Llama-2-70b-hf-Surprisal-Context-P,P,both
meta-llama-Llama-2-70b-hf-Surprisal-Context-P-P,P-P,1
meta-llama-Llama-2-70b-hf-Surprisal-Context-Q-P,Q-P,0
meta-llama-Llama-2-70b-hf-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
meta-llama-Llama-2-70b-hf-Surprisal-Context-textFillP-P,textFillP-P,1
meta-llama-Llama-2-70b-hf-Surprisal-Context-textFillQ-P,textFillQ-P,0
meta-llama-Llama-2-70b-hf-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-fillerP-P,fillP-P,1
