surp_col,name,reread
EleutherAI-gpt-j-6B-Surprisal-Context-fillerP-P,fillP-P,1
EleutherAI-gpt-j-6B-Surprisal-Context-fillerQ-P,fillQ-P,0
EleutherAI-gpt-j-6B-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
EleutherAI-gpt-j-6B-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
EleutherAI-gpt-j-6B-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
EleutherAI-gpt-j-6B-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
EleutherAI-gpt-j-6B-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
EleutherAI-gpt-j-6B-Surprisal-Context-P,P,both
EleutherAI-gpt-j-6B-Surprisal-Context-P-P,P-P,1
EleutherAI-gpt-j-6B-Surprisal-Context-Q-P,Q-P,0
EleutherAI-gpt-j-6B-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
EleutherAI-gpt-j-6B-Surprisal-Context-textFillP-P,textFillP-P,1
EleutherAI-gpt-j-6B-Surprisal-Context-textFillQ-P,textFillQ-P,0
EleutherAI-gpt-j-6B-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
EleutherAI-pythia-2.8b-Surprisal-Context-fillerP-P,fillP-P,1
EleutherAI-pythia-2.8b-Surprisal-Context-fillerQ-P,fillQ-P,0
EleutherAI-pythia-2.8b-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
EleutherAI-pythia-2.8b-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
EleutherAI-pythia-2.8b-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
EleutherAI-pythia-2.8b-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
EleutherAI-pythia-2.8b-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
EleutherAI-pythia-2.8b-Surprisal-Context-P,P,both
EleutherAI-pythia-2.8b-Surprisal-Context-P-P,P-P,1
EleutherAI-pythia-2.8b-Surprisal-Context-Q-P,Q-P,0
EleutherAI-pythia-2.8b-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
EleutherAI-pythia-2.8b-Surprisal-Context-textFillP-P,textFillP-P,1
EleutherAI-pythia-2.8b-Surprisal-Context-textFillQ-P,textFillQ-P,0
EleutherAI-pythia-2.8b-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
EleutherAI-pythia-6.9b-Surprisal-Context-fillerP-P,fillP-P,1
EleutherAI-pythia-6.9b-Surprisal-Context-fillerQ-P,fillQ-P,0
EleutherAI-pythia-6.9b-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
EleutherAI-pythia-6.9b-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
EleutherAI-pythia-6.9b-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
EleutherAI-pythia-6.9b-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
EleutherAI-pythia-6.9b-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
EleutherAI-pythia-6.9b-Surprisal-Context-P,P,both
EleutherAI-pythia-6.9b-Surprisal-Context-P-P,P-P,1
EleutherAI-pythia-6.9b-Surprisal-Context-Q-P,Q-P,0
EleutherAI-pythia-6.9b-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
EleutherAI-pythia-6.9b-Surprisal-Context-textFillP-P,textFillP-P,1
EleutherAI-pythia-6.9b-Surprisal-Context-textFillQ-P,textFillQ-P,0
EleutherAI-pythia-6.9b-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
facebook-opt-6.7b-Surprisal-Context-fillerP-P,fillP-P,1
facebook-opt-6.7b-Surprisal-Context-fillerQ-P,fillQ-P,0
facebook-opt-6.7b-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
facebook-opt-6.7b-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
facebook-opt-6.7b-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
facebook-opt-6.7b-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
facebook-opt-6.7b-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
facebook-opt-6.7b-Surprisal-Context-P,P,both
facebook-opt-6.7b-Surprisal-Context-P-P,P-P,1
facebook-opt-6.7b-Surprisal-Context-Q-P,Q-P,0
facebook-opt-6.7b-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
facebook-opt-6.7b-Surprisal-Context-textFillP-P,textFillP-P,1
facebook-opt-6.7b-Surprisal-Context-textFillQ-P,textFillQ-P,0
facebook-opt-6.7b-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
