,surp_col,name,reread
0,EleutherAI-pythia-70m-Surprisal-Context-P,P,both
1,EleutherAI-pythia-70m-Surprisal-Context-Q-P,Q-P,0
2,EleutherAI-pythia-70m-Surprisal-Context-P-P,P-P,1
3,EleutherAI-pythia-70m-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
4,EleutherAI-pythia-70m-Surprisal-Context-fillerP-P,fillP-P,1
5,EleutherAI-pythia-70m-Surprisal-Context-fillerQ-P,fillQ-P,0
6,EleutherAI-pythia-70m-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
7,EleutherAI-pythia-70m-Surprisal-Context-textFillP-P,textFillP-P,1
8,EleutherAI-pythia-70m-Surprisal-Context-textFillQ-P,textFillQ-P,0
9,EleutherAI-pythia-70m-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
10,EleutherAI-pythia-70m-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
11,EleutherAI-pythia-70m-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
12,EleutherAI-pythia-70m-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
13,EleutherAI-pythia-70m-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
