,has_preview_condition,reread_condition,linear,context,context_type,surp_p_val,prev_surp_p_val,corrected_surp_p_val,corrected_prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,x_prev_surp,y_surp,y_prev_surp,x_context,y_context,symbol_size,font_size
0,Gathering,0,linear,P,standard_contxt,3.4979907682180996e-214,4.721747709133069e-30,3.4979907682181e-213,4.721747709133069e-29,***,***,155,155,85,120,265,85,26,24
1,Gathering,0,nonlinear,P,standard_contxt,0.0,0.0,0.0,0.0,***,***,205,205,85,120,315,85,26,24
2,Gathering,1,linear,P,standard_contxt,2.18490232670217e-25,0.0031444483785434,2.18490232670217e-24,0.031444483785434,***,*,155,155,975,1010,265,975,26,24
3,Gathering,1,linear,P-P,regime_context,0.0513496694306136,0.235579770035131,0.513496694306136,1.0,(.),(.),625,625,975,1010,735,975,26,24
4,Gathering,1,linear,fillP-P,control_context,9.5596433240018e-24,0.0119146697421631,9.5596433240018e-23,0.11914669742163099,***,(.),1090,1090,975,1010,1200,975,26,24
5,Gathering,1,nonlinear,P,standard_contxt,0.0,0.0021534226227568,0.0,0.021534226227568,***,*,205,205,975,1010,315,975,26,24
6,Gathering,1,nonlinear,P-P,regime_context,0.0374253854494442,1.81388441518604e-05,0.37425385449444204,0.000181388441518604,(.),***,675,675,975,1010,785,975,26,24
7,Gathering,1,nonlinear,fillP-P,control_context,0.0,0.0008704361460196,0.0,0.008704361460196,***,**,1140,1140,975,1010,1250,975,26,24
8,Hunting,0,linear,P,standard_contxt,1.40668130091446e-139,2.1667953936321198e-43,1.40668130091446e-138,2.1667953936321196e-42,***,***,155,155,530,565,265,530,26,24
9,Hunting,0,linear,Q-P,regime_context,7.50325110034392e-140,4.45821259218478e-38,7.50325110034392e-139,4.45821259218478e-37,***,***,625,625,530,565,735,530,26,24
10,Hunting,0,linear,fillQ-P,control_context,4.47052402346424e-123,6.89066269908553e-32,4.4705240234642397e-122,6.89066269908553e-31,***,***,1090,1090,530,565,1200,530,26,24
11,Hunting,0,nonlinear,P,standard_contxt,0.0,0.0,0.0,0.0,***,***,205,205,530,565,315,530,26,24
12,Hunting,0,nonlinear,Q-P,regime_context,0.0,0.0,0.0,0.0,***,***,675,675,530,565,785,530,26,24
13,Hunting,0,nonlinear,fillQ-P,control_context,0.0,0.0,0.0,0.0,***,***,1140,1140,530,565,1250,530,26,24
14,Hunting,1,linear,P,standard_contxt,2.1272900412153303e-09,0.0040452045217318,2.1272900412153304e-08,0.040452045217318,***,*,155,155,1420,1455,265,1420,26,24
15,Hunting,1,linear,Qfr-P-Q-P,regime_context,0.0451141793097544,0.0001163155188998,0.451141793097544,0.001163155188998,(.),**,625,625,1420,1455,735,1420,26,24
16,Hunting,1,linear,fillQfr-fillP-fillQ-P,control_context,3.3379986858713903e-10,0.047205727455397,3.33799868587139e-09,0.47205727455397,***,(.),1090,1090,1420,1455,1200,1420,26,24
17,Hunting,1,nonlinear,P,standard_contxt,7.68639346782063e-07,0.0141340696477959,7.686393467820631e-06,0.141340696477959,***,(.),205,205,1420,1455,315,1420,26,24
18,Hunting,1,nonlinear,Qfr-P-Q-P,regime_context,0.0983372611897069,0.142189541293164,0.9833726118970689,1.0,(.),(.),675,675,1420,1455,785,1420,26,24
19,Hunting,1,nonlinear,fillQfr-fillP-fillQ-P,control_context,3.23093336529467e-08,0.0514603427390978,3.23093336529467e-07,0.5146034273909781,***,(.),1140,1140,1420,1455,1250,1420,26,24
