"time","surp_column","zoom_in","zoom_in_threshold","reread","reread_10_11","filter_hunting"
2024-08-19 15:45:31.676196,"EleutherAI-pythia-70m-Surprisal-Context-P",FALSE,7.75303630828852,"both",FALSE,FALSE
2024-09-03 19:19:02.087775,"EleutherAI-pythia-70m-Surprisal-Context-P",FALSE,7.83692073822021,"both",FALSE,FALSE
2024-10-09 14:37:06.534239,"EleutherAI-pythia-70m-Surprisal-Context-P",FALSE,7.83692073822021,"both",FALSE,FALSE
