,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,corrected_surp_p_val,corrected_prev_surp_p_val
45,46,46,1.38305118104906e-107,1.40724233452356e-30,Hunting,0,linear,True,P,standard_contxt,1.38305118104906e-106,1.40724233452356e-29
46,47,47,6.2841838289700105e-111,7.21307198202295e-29,Hunting,0,linear,True,P,standard_contxt,6.284183828970011e-110,7.213071982022951e-28
47,48,48,4.27456834774691e-114,2.66636480972363e-33,Hunting,0,linear,True,P,standard_contxt,4.27456834774691e-113,2.66636480972363e-32
48,49,49,8.16231817653395e-112,1.97732603949891e-33,Hunting,0,linear,True,P,standard_contxt,8.162318176533951e-111,1.97732603949891e-32
49,50,50,2.62208429728262e-116,9.13601781404059e-29,Hunting,0,linear,True,P,standard_contxt,2.62208429728262e-115,9.13601781404059e-28
50,51,51,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,0.0,0.0
51,52,52,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,0.0,0.0
52,53,53,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,0.0,0.0
53,54,54,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,0.0,0.0
54,55,55,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,0.0,0.0
55,56,56,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,0.0,0.0
56,57,57,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,0.0,0.0
57,58,58,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,0.0,0.0
58,59,59,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,0.0,0.0
59,60,60,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,0.0,0.0
60,61,61,4.95996231409563e-05,0.216896373990132,Hunting,1,linear,True,P,standard_contxt,0.000495996231409563,1.0
61,62,62,2.1272900412153303e-09,0.128287442482661,Hunting,1,linear,True,P,standard_contxt,2.1272900412153304e-08,1.0
62,63,63,1.44692376630659e-08,0.0233416218691459,Hunting,1,linear,True,P,standard_contxt,1.4469237663065899e-07,0.233416218691459
63,64,64,1.28011601661506e-05,0.15718039773458,Hunting,1,linear,True,P,standard_contxt,0.00012801160166150602,1.0
64,65,65,0.0013651364779778,0.0040452045217318,Hunting,1,linear,True,P,standard_contxt,0.013651364779778,0.040452045217318
65,66,66,1.41648622439715e-08,0.12147055733783,Hunting,1,linear,True,P,standard_contxt,1.41648622439715e-07,1.0
66,67,67,4.05988662644328e-07,0.10781757086905,Hunting,1,linear,True,P,standard_contxt,4.0598866264432806e-06,1.0
67,68,68,1.0628139118227e-05,0.0363782862883114,Hunting,1,linear,True,P,standard_contxt,0.00010628139118226999,0.363782862883114
68,69,69,2.57648660204201e-07,0.608198013521067,Hunting,1,linear,True,P,standard_contxt,2.57648660204201e-06,1.0
69,70,70,0.0061817262161456,0.542527688274221,Hunting,1,linear,True,P,standard_contxt,0.061817262161456,1.0
70,71,71,0.0001180021771832,0.148782648755958,Hunting,1,nonlinear,True,P,standard_contxt,0.001180021771832,1.0
71,72,72,0.0001726077371356,0.236899376288144,Hunting,1,nonlinear,True,P,standard_contxt,0.0017260773713560001,1.0
72,73,73,3.52955792440324e-05,0.0961953048568521,Hunting,1,nonlinear,True,P,standard_contxt,0.000352955792440324,0.961953048568521
73,74,74,6.81460761509101e-05,0.111555904540259,Hunting,1,nonlinear,True,P,standard_contxt,0.0006814607615091011,1.0
74,75,75,0.0001716176092403,0.166130129408525,Hunting,1,nonlinear,True,P,standard_contxt,0.001716176092403,1.0
75,76,76,0.0001442318453081,0.0995966660658306,Hunting,1,nonlinear,True,P,standard_contxt,0.001442318453081,0.9959666606583061
76,77,77,4.81267363383608e-06,0.488029337526037,Hunting,1,nonlinear,True,P,standard_contxt,4.81267363383608e-05,1.0
77,78,78,4.6194269909372e-05,0.135366057969901,Hunting,1,nonlinear,True,P,standard_contxt,0.00046194269909372,1.0
78,79,79,7.68639346782063e-07,0.621237197758849,Hunting,1,nonlinear,True,P,standard_contxt,7.686393467820631e-06,1.0
79,80,80,0.0028883462404277,0.0141340696477959,Hunting,1,nonlinear,True,P,standard_contxt,0.028883462404277,0.141340696477959
80,81,21,7.50325110034392e-140,4.45821259218478e-38,Hunting,0,linear,True,Q-P,regime_context,7.50325110034392e-139,4.45821259218478e-37
81,82,22,2.87454249294383e-122,3.6378138978791404e-31,Hunting,0,linear,True,Q-P,regime_context,2.87454249294383e-121,3.637813897879141e-30
82,83,23,6.28354315355702e-123,2.72409993448369e-34,Hunting,0,linear,True,Q-P,regime_context,6.283543153557021e-122,2.7240999344836898e-33
83,84,24,1.4810183568853e-134,3.1851552329081496e-33,Hunting,0,linear,True,Q-P,regime_context,1.4810183568853001e-133,3.1851552329081493e-32
84,85,25,1.10044999611545e-137,5.0498541910207e-27,Hunting,0,linear,True,Q-P,regime_context,1.10044999611545e-136,5.0498541910207e-26
85,86,26,2.19686146964812e-138,7.85242801735954e-31,Hunting,0,linear,True,Q-P,regime_context,2.19686146964812e-137,7.85242801735954e-30
86,87,27,1.3207623339035501e-132,2.40625587903632e-26,Hunting,0,linear,True,Q-P,regime_context,1.3207623339035502e-131,2.40625587903632e-25
87,88,28,5.0749657215473e-136,4.38087094952801e-35,Hunting,0,linear,True,Q-P,regime_context,5.0749657215473e-135,4.38087094952801e-34
88,89,29,2.6831748744695398e-138,8.031878520850119e-36,Hunting,0,linear,True,Q-P,regime_context,2.68317487446954e-137,8.031878520850119e-35
89,90,30,2.9459600720524e-129,1.30920964643149e-28,Hunting,0,linear,True,Q-P,regime_context,2.9459600720524e-128,1.30920964643149e-27
90,91,31,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,0.0,0.0
91,92,32,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,0.0,0.0
92,93,33,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,0.0,0.0
93,94,34,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,0.0,0.0
94,95,35,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,0.0,0.0
95,96,36,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,0.0,0.0
96,97,37,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,0.0,0.0
97,98,38,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,0.0,0.0
98,99,39,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,0.0,0.0
99,100,40,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,0.0,0.0
100,101,1,1.6567726427982301e-21,0.425013864127719,Gathering,1,linear,True,fillP-P,control_context,1.65677264279823e-20,1.0
101,102,2,3.1243194439148303e-20,0.0441249601841752,Gathering,1,linear,True,fillP-P,control_context,3.12431944391483e-19,0.441249601841752
102,103,3,1.3122256469955901e-20,0.0655433881659185,Gathering,1,linear,True,fillP-P,control_context,1.3122256469955903e-19,0.6554338816591849
103,104,4,3.93392721151261e-15,0.162418182508702,Gathering,1,linear,True,fillP-P,control_context,3.93392721151261e-14,1.0
104,105,5,3.88099696724737e-20,0.685763396647433,Gathering,1,linear,True,fillP-P,control_context,3.88099696724737e-19,1.0
105,106,6,9.5596433240018e-24,0.0891352870368661,Gathering,1,linear,True,fillP-P,control_context,9.5596433240018e-23,0.8913528703686611
106,107,7,5.4011010826373304e-17,0.136685553878468,Gathering,1,linear,True,fillP-P,control_context,5.40110108263733e-16,1.0
107,108,8,2.44924498742303e-13,0.0800847695062989,Gathering,1,linear,True,fillP-P,control_context,2.4492449874230296e-12,0.800847695062989
108,109,9,1.05724779202676e-19,0.0167099539092415,Gathering,1,linear,True,fillP-P,control_context,1.05724779202676e-18,0.167099539092415
109,110,10,1.55936519090241e-17,0.0119146697421631,Gathering,1,linear,True,fillP-P,control_context,1.55936519090241e-16,0.11914669742163099
110,111,11,0.0,0.0056597933902999,Gathering,1,nonlinear,True,fillP-P,control_context,0.0,0.056597933902999
111,112,12,0.0,0.0485521227978299,Gathering,1,nonlinear,True,fillP-P,control_context,0.0,0.485521227978299
112,113,13,0.0,0.0008704361460196,Gathering,1,nonlinear,True,fillP-P,control_context,0.0,0.008704361460196
113,114,14,0.0,0.0544611862250237,Gathering,1,nonlinear,True,fillP-P,control_context,0.0,0.544611862250237
114,115,15,0.0,0.0154042665972008,Gathering,1,nonlinear,True,fillP-P,control_context,0.0,0.154042665972008
115,116,16,0.0,0.0098851767799607,Gathering,1,nonlinear,True,fillP-P,control_context,0.0,0.098851767799607
