"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","context_type"
"68",68,1.0628139118227e-05,0.0363782862883114,"Hunting",1,"linear",TRUE,"P","standard_contxt"
"69",69,2.57648660204201e-07,0.608198013521067,"Hunting",1,"linear",TRUE,"P","standard_contxt"
"70",70,0.00618172621614566,0.542527688274221,"Hunting",1,"linear",TRUE,"P","standard_contxt"
"71",71,0.000118002177183274,0.148782648755958,"Hunting",1,"nonlinear",TRUE,"P","standard_contxt"
"72",72,0.000172607737135677,0.236899376288144,"Hunting",1,"nonlinear",TRUE,"P","standard_contxt"
"73",73,3.52955792440324e-05,0.0961953048568521,"Hunting",1,"nonlinear",TRUE,"P","standard_contxt"
"74",74,6.81460761509101e-05,0.111555904540259,"Hunting",1,"nonlinear",TRUE,"P","standard_contxt"
"75",75,0.000171617609240393,0.166130129408525,"Hunting",1,"nonlinear",TRUE,"P","standard_contxt"
"76",76,0.000144231845308151,0.0995966660658306,"Hunting",1,"nonlinear",TRUE,"P","standard_contxt"
"77",77,4.81267363383608e-06,0.488029337526037,"Hunting",1,"nonlinear",TRUE,"P","standard_contxt"
"78",78,4.6194269909372e-05,0.135366057969901,"Hunting",1,"nonlinear",TRUE,"P","standard_contxt"
"79",79,7.68639346782063e-07,0.621237197758849,"Hunting",1,"nonlinear",TRUE,"P","standard_contxt"
"80",80,0.00288834624042777,0.0141340696477959,"Hunting",1,"nonlinear",TRUE,"P","standard_contxt"
"81",21,7.50325110034392e-140,4.45821259218478e-38,"Hunting",0,"linear",TRUE,"Q-P","regime_context"
"82",22,2.87454249294383e-122,3.63781389787914e-31,"Hunting",0,"linear",TRUE,"Q-P","regime_context"
"83",23,6.28354315355702e-123,2.72409993448369e-34,"Hunting",0,"linear",TRUE,"Q-P","regime_context"
"84",24,1.4810183568853e-134,3.18515523290815e-33,"Hunting",0,"linear",TRUE,"Q-P","regime_context"
"85",25,1.10044999611545e-137,5.0498541910207e-27,"Hunting",0,"linear",TRUE,"Q-P","regime_context"
"86",26,2.19686146964812e-138,7.85242801735954e-31,"Hunting",0,"linear",TRUE,"Q-P","regime_context"
"87",27,1.32076233390355e-132,2.40625587903632e-26,"Hunting",0,"linear",TRUE,"Q-P","regime_context"
"88",28,5.0749657215473e-136,4.38087094952801e-35,"Hunting",0,"linear",TRUE,"Q-P","regime_context"
"89",29,2.68317487446954e-138,8.03187852085012e-36,"Hunting",0,"linear",TRUE,"Q-P","regime_context"
"90",30,2.9459600720524e-129,1.30920964643149e-28,"Hunting",0,"linear",TRUE,"Q-P","regime_context"
"91",31,0,0,"Hunting",0,"nonlinear",TRUE,"Q-P","regime_context"
"92",32,0,0,"Hunting",0,"nonlinear",TRUE,"Q-P","regime_context"
"93",33,0,0,"Hunting",0,"nonlinear",TRUE,"Q-P","regime_context"
"94",34,0,0,"Hunting",0,"nonlinear",TRUE,"Q-P","regime_context"
"95",35,0,0,"Hunting",0,"nonlinear",TRUE,"Q-P","regime_context"
"96",36,0,0,"Hunting",0,"nonlinear",TRUE,"Q-P","regime_context"
"97",37,0,0,"Hunting",0,"nonlinear",TRUE,"Q-P","regime_context"
