,has_preview_condition,reread_condition,linear,context,context_type,surp_p_val,prev_surp_p_val,corrected_surp_p_val,corrected_prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,x_prev_surp,y_surp,y_prev_surp,x_context,y_context,symbol_size,font_size
0,Gathering,0,linear,P,standard_contxt,1.23327121961374e-195,3.35896055625201e-43,1.23327121961374e-194,3.35896055625201e-42,***,***,155,155,85,120,265,85,26,24
1,Gathering,0,nonlinear,P,standard_contxt,0.0,0.0,0.0,0.0,***,***,205,205,85,120,315,85,26,24
2,Gathering,1,linear,P,standard_contxt,5.5888976917716e-16,0.001101058058626,5.5888976917716e-15,0.01101058058626,***,*,155,155,975,1010,265,975,26,24
3,Gathering,1,linear,P-P,regime_context,0.0090319604100992,0.0027919341932166,0.09031960410099199,0.027919341932166,(.),*,625,625,975,1010,735,975,26,24
4,Gathering,1,linear,fillP-P,control_context,4.4146730967558694e-18,0.0237059602448367,4.414673096755869e-17,0.23705960244836702,***,(.),1090,1090,975,1010,1200,975,26,24
5,Gathering,1,nonlinear,P,standard_contxt,0.0,8.53695960682521e-05,0.0,0.0008536959606825211,***,***,205,205,975,1010,315,975,26,24
6,Gathering,1,nonlinear,P-P,regime_context,0.0109133682617563,0.0,0.10913368261756301,0.0,(.),***,675,675,975,1010,785,975,26,24
7,Gathering,1,nonlinear,fillP-P,control_context,0.0,0.0001347668653525,0.0,0.001347668653525,***,**,1140,1140,975,1010,1250,975,26,24
8,Hunting,0,linear,P,standard_contxt,9.11260586942543e-128,3.25436254173016e-39,9.11260586942543e-127,3.2543625417301595e-38,***,***,155,155,530,565,265,530,26,24
9,Hunting,0,linear,Q-P,regime_context,3.51691913136577e-141,1.02306014419704e-43,3.5169191313657704e-140,1.02306014419704e-42,***,***,625,625,530,565,735,530,26,24
10,Hunting,0,linear,fillQ-P,control_context,2.76966616059446e-121,1.1428083027607299e-30,2.76966616059446e-120,1.1428083027607299e-29,***,***,1090,1090,530,565,1200,530,26,24
11,Hunting,0,nonlinear,P,standard_contxt,0.0,0.0,0.0,0.0,***,***,205,205,530,565,315,530,26,24
12,Hunting,0,nonlinear,Q-P,regime_context,0.0,0.0,0.0,0.0,***,***,675,675,530,565,785,530,26,24
13,Hunting,0,nonlinear,fillQ-P,control_context,0.0,0.0,0.0,0.0,***,***,1140,1140,530,565,1250,530,26,24
14,Hunting,1,linear,P,standard_contxt,1.34109984074899e-08,0.0606213934351092,1.34109984074899e-07,0.606213934351092,***,(.),155,155,1420,1455,265,1420,26,24
15,Hunting,1,linear,Qfr-P-Q-P,regime_context,0.0533667341572765,0.0081418827444788,0.5336673415727651,0.081418827444788,(.),(.),625,625,1420,1455,735,1420,26,24
16,Hunting,1,linear,fillQfr-fillP-fillQ-P,control_context,3.5947514092305297e-12,0.00040886648265,3.5947514092305293e-11,0.0040886648265,***,**,1090,1090,1420,1455,1200,1420,26,24
17,Hunting,1,nonlinear,P,standard_contxt,0.0,0.0228067536737039,0.0,0.228067536737039,***,(.),205,205,1420,1455,315,1420,26,24
18,Hunting,1,nonlinear,Qfr-P-Q-P,regime_context,0.0063971285453823,0.0085755417112057,0.063971285453823,0.08575541711205699,(.),(.),675,675,1420,1455,785,1420,26,24
19,Hunting,1,nonlinear,fillQfr-fillP-fillQ-P,control_context,0.0,0.0165691311649306,0.0,0.165691311649306,***,(.),1140,1140,1420,1455,1250,1420,26,24
