"","m","upper","lower","ttest_pval","has_preview_condition","reread_condition","linear","new_p_val","n_sim"
"1",0.000659926098152353,0.000924820688350011,0.000395031507954696,0,"Gathering",1,"linear",0,20000
"2",0.000854420711293698,0.00113517536030072,0.00057366606228668,0,"Gathering",1,"nonlinear",0,20000
"3",0.000365267356977872,0.000591026837076401,0.000139507876879342,0,"Hunting",1,"linear",0.0013,20000
"4",0.000474484279392568,0.000716331988177533,0.000232636570607603,0,"Hunting",1,"nonlinear",0.0013,20000
