"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","context_type"
"1",1,1.47782611881884e-187,1.42014104818383e-34,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"2",2,1.23327121961374e-195,1.1546010261822e-29,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"3",3,9.75417635340541e-183,3.35896055625201e-43,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"4",4,2.90834169963811e-176,3.72721532511516e-28,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"5",5,6.49595162249369e-192,2.76926248521873e-25,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"6",6,2.79302223017804e-170,5.63210989677499e-28,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"7",7,6.71914162152013e-175,6.45561784113168e-26,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"8",8,4.97791285568961e-181,1.41031285912472e-33,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"9",9,1.21098101605181e-183,3.68554925538922e-28,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"10",10,5.84694311095234e-180,4.30725364894667e-28,"Gathering",0,"linear",TRUE,"P","standard_contxt"
"11",11,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"12",12,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"13",13,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"14",14,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"15",15,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"16",16,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"17",17,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"18",18,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"19",19,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"20",20,0,0,"Gathering",0,"nonlinear",TRUE,"P","standard_contxt"
"21",21,3.38078137553169e-10,0.0235439160779468,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"22",22,8.5434078238318e-12,0.0640576842479289,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"23",23,8.52191370185001e-12,0.0116101253510046,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"24",24,2.05059325536156e-13,0.00110105805862608,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"25",25,2.05923678917269e-15,0.0330361672838024,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"26",26,8.98312607319998e-09,0.196133558797065,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"27",27,5.5888976917716e-16,0.163453996154233,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"28",28,2.27562935264506e-15,0.0214137316806165,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"29",29,1.65217112992794e-12,0.0529176800975337,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"30",30,5.88460839728266e-15,0.00631710364357444,"Gathering",1,"linear",TRUE,"P","standard_contxt"
"31",31,0,0.278779657357241,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"32",32,0,0.0648585709528924,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"33",33,0,0.00459030763933427,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"34",34,0,0.059669103527361,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"35",35,0,0.00105915952197516,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"36",36,0,0.000271926473071005,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"37",37,0,0.112903604657213,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"38",38,0,0.0148003906527647,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"39",39,0,0.00274759012947079,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"40",40,0,8.53695960682521e-05,"Gathering",1,"nonlinear",TRUE,"P","standard_contxt"
"41",41,8.67739701260941e-104,1.10108184205811e-38,"Hunting",0,"linear",TRUE,"P","standard_contxt"
"42",42,1.34894437893547e-92,3.27073522487591e-27,"Hunting",0,"linear",TRUE,"P","standard_contxt"
"43",43,5.50537542612543e-96,3.25436254173016e-39,"Hunting",0,"linear",TRUE,"P","standard_contxt"
"44",44,1.56672343988309e-105,4.0710121386733e-29,"Hunting",0,"linear",TRUE,"P","standard_contxt"
"45",45,9.29217242071812e-116,3.77409536582979e-34,"Hunting",0,"linear",TRUE,"P","standard_contxt"
"46",46,6.90187615998272e-110,2.46060687321389e-31,"Hunting",0,"linear",TRUE,"P","standard_contxt"
"47",47,4.3586098919675e-106,1.79694844720316e-34,"Hunting",0,"linear",TRUE,"P","standard_contxt"
"48",48,3.3993112673036e-89,5.68105755196128e-29,"Hunting",0,"linear",TRUE,"P","standard_contxt"
"49",49,9.11260586942543e-128,5.25406151659615e-37,"Hunting",0,"linear",TRUE,"P","standard_contxt"
"50",50,2.37939367085412e-101,9.03099811133793e-38,"Hunting",0,"linear",TRUE,"P","standard_contxt"
"51",51,0,0,"Hunting",0,"nonlinear",TRUE,"P","standard_contxt"
"52",52,0,0,"Hunting",0,"nonlinear",TRUE,"P","standard_contxt"
"53",53,0,0,"Hunting",0,"nonlinear",TRUE,"P","standard_contxt"
"54",54,0,0,"Hunting",0,"nonlinear",TRUE,"P","standard_contxt"
"55",55,0,0,"Hunting",0,"nonlinear",TRUE,"P","standard_contxt"
"56",56,0,0,"Hunting",0,"nonlinear",TRUE,"P","standard_contxt"
"57",57,0,0,"Hunting",0,"nonlinear",TRUE,"P","standard_contxt"
"58",58,0,0,"Hunting",0,"nonlinear",TRUE,"P","standard_contxt"
"59",59,0,0,"Hunting",0,"nonlinear",TRUE,"P","standard_contxt"
"60",60,0,0,"Hunting",0,"nonlinear",TRUE,"P","standard_contxt"
"61",61,8.3783541251306e-07,0.350516494652974,"Hunting",1,"linear",TRUE,"P","standard_contxt"
"62",62,1.34109984074899e-08,0.145110332390342,"Hunting",1,"linear",TRUE,"P","standard_contxt"
"63",63,9.46608184561842e-06,0.225302652348054,"Hunting",1,"linear",TRUE,"P","standard_contxt"
"64",64,1.53509595767938e-07,0.781483841106834,"Hunting",1,"linear",TRUE,"P","standard_contxt"
"65",65,0.000257644193580015,0.0606213934351092,"Hunting",1,"linear",TRUE,"P","standard_contxt"
