"","m","upper","lower","norm_upper","norm_lower","w_norm_CI","w_new_CI","has_preview_condition","reread_condition","linear","new_p_val","n_sim"
"1",-0.000330353194847702,-0.000214621646374222,-0.000444543588126751,-0.000214987544248267,-0.000445718845447136,0.000230731301198869,0.000229921941752528,"Gathering",1,"linear",0.001,1000
"2",-7.78910116477895e-05,0.000182591680935314,-0.000336653742301866,0.000176922597928232,-0.00033270462122381,0.000509627219152042,0.00051924542323718,"Gathering",1,"nonlinear",0.541,1000
"3",-0.00011828335253144,-7.91980952527579e-05,-0.000157357803671886,-8.02046088450686e-05,-0.000156362096217812,7.61574873727435e-05,7.81597084191284e-05,"Hunting",1,"linear",0.001,1000
"4",-0.000465320060073948,-0.000249184031959262,-0.00067828899765105,-0.000256086881684347,-0.000674553238463548,0.000418466356779201,0.000429104965691789,"Hunting",1,"nonlinear",0.001,1000
