"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE","mean_dll_vec_1","mean_dll_vec_2","diff_mean_dll"
"1","Hunting",0,"pastP-P","standard_context","pastQP-Q-P","regime_comtext","linear",0.0138262183747425,0.0163865480594751,0.00256032968473269,-35.5412555655112,-44.2683794288005,-8.72712386328931,0.00190792383129777,0.00238875194871472,0.000480828117416957
"2","Hunting",0,"pastP-P","standard_context","pastQP-Q-P","regime_comtext","nonlinear",0.0134635186265938,0.0166330526838225,0.00316953405722861,-34.3899405207267,-44.6588909662551,-10.2689504455284,0.00184571946501646,0.00240929361066344,0.00056357414564698
"3","Hunting",0,"pastP-P","standard_context","fillPastQP-fillerQ-P","dots_control_context","linear",0.0138262183747425,0.00987437222415188,-0.00395184615059058,-35.5412555655112,-23.6871656747026,11.8540898908086,0.00190792383129777,0.00128352918575638,-0.000624394645541386
"4","Hunting",0,"pastP-P","standard_context","fillPastQP-fillerQ-P","dots_control_context","nonlinear",0.0134635186265938,0.0103597351041683,-0.00310378352242555,-34.3899405207267,-24.8827785400372,9.50716198068949,0.00184571946501646,0.00134955065117815,-0.00049616881383831
"5","Hunting",0,"pastP-P","standard_context","textFillPastQP-textFillQ-P","text_control_context","linear",0.0138262183747425,0.0110912744375651,-0.00273494393717737,-35.5412555655112,-27.1426864457881,8.39856911972311,0.00190792383129777,0.00147548184309909,-0.000432441988198677
"6","Hunting",0,"pastP-P","standard_context","textFillPastQP-textFillQ-P","text_control_context","nonlinear",0.0134635186265938,0.0104427621334576,-0.00302075649313628,-34.3899405207267,-24.5036340040315,9.88630651669519,0.00184571946501646,0.00131385008704992,-0.000531869377966544
"7","Gathering",1,"pastP-P","standard_context","Article-pastP-P","regime_comtext","linear",0.00585309158292224,-0.000881061936380129,-0.00673415351930237,-14.7870001567735,2.61966241730988,17.4066625740834,0.000790758008813007,-0.000164229018965199,-0.000954987027778206
"8","Gathering",1,"pastP-P","standard_context","Article-pastP-P","regime_comtext","nonlinear",0.00576614932585801,-0.000963914945460193,-0.0067300642713182,-14.4851453318097,3.20569366516429,17.690838996974,0.000777024629510891,-0.00021493742955553,-0.000991962059066421
"9","Gathering",1,"pastP-P","standard_context","fillArticle-fillPastP-P","dots_control_context","linear",0.00585309158292224,0.00565102496629238,-0.000202066616629859,-14.7870001567735,-14.4464164128058,0.340583743967727,0.000790758008813007,0.000782003698062319,-8.7543107506878e-06
"10","Gathering",1,"pastP-P","standard_context","fillArticle-fillPastP-P","dots_control_context","nonlinear",0.00576614932585801,0.00631101498975586,0.000544865663897859,-14.4851453318097,-15.9477664516562,-1.46262111984652,0.000777024629510891,0.000869755080719895,9.27304512090036e-05
"11","Gathering",1,"pastP-P","standard_context","textFillArticle-textFillPastP-P","text_control_context","linear",0.00585309158292224,0.007160299019704,0.00130720743678175,-14.7870001567735,-18.6146238395213,-3.8276236827478,0.000790758008813007,0.00100322661726814,0.000212468608455131
"12","Gathering",1,"pastP-P","standard_context","textFillArticle-textFillPastP-P","text_control_context","nonlinear",0.00576614932585801,0.00750302344109124,0.00173687411523324,-14.4851453318097,-19.4734991745227,-4.98835384271297,0.000777024629510891,0.0010517890353711,0.000274764405860213
"13","Hunting",1,"pastP-P","standard_context","ArticleQfrP-pastQP-Q-P","regime_comtext","linear",0.00565217989777522,-0.000754644105258412,-0.00640682400303363,-8.80220844774703,1.81121271589473,10.6134211636418,0.000622855404437152,-0.000145138346374015,-0.000767993750811167
"14","Hunting",1,"pastP-P","standard_context","ArticleQfrP-pastQP-Q-P","regime_comtext","nonlinear",0.00606362440979516,-0.00109985521920139,-0.00716347962899655,-9.33953758139432,2.66695557879848,12.0064931601928,0.000647248426839299,-0.000208487171960697,-0.000855735598799996
"15","Hunting",1,"pastP-P","standard_context","fillArticleQfrP-fillPastQP-fillerQ-P","dots_control_context","linear",0.00565217989777522,0.0019941406347764,-0.00365803926299882,-8.80220844774703,-2.95748541725607,5.84472303049097,0.000622855404437152,0.00021325982466419,-0.000409595579772962
"16","Hunting",1,"pastP-P","standard_context","fillArticleQfrP-fillPastQP-fillerQ-P","dots_control_context","nonlinear",0.00606362440979516,0.00356635363221923,-0.00249727077757593,-9.33953758139432,-5.59389011136864,3.74564747002569,0.000647248426839299,0.000392029531145288,-0.000255218895694011
"17","Hunting",1,"pastP-P","standard_context","textFillArticleQfrP-textFillPastQP-textFillQ-P","text_control_context","linear",0.00565217989777522,0.00347609207799343,-0.00217608781978179,-8.80220844774703,-5.46178554331073,3.34042290443631,0.000622855404437152,0.00037754613554195,-0.000245309268895202
"18","Hunting",1,"pastP-P","standard_context","textFillArticleQfrP-textFillPastQP-textFillQ-P","text_control_context","nonlinear",0.00606362440979516,0.00567830416850403,-0.000385320241291134,-9.33953758139432,-9.17568051807302,0.163857063321302,0.000647248426839299,0.000624357484885662,-2.28909419536369e-05
"19","Gathering",0,"pastP-P","standard_context","instFirstReadA-pastP-P","prompt_regime_comtext","linear",0.0119135748665463,0.0118087124822996,-0.000104862384246757,-58.4656673916143,-57.9774318720647,0.488235519549562,0.0022376601275196,0.00221811403632853,-1.95460911910699e-05
"20","Gathering",0,"pastP-P","standard_context","instFirstReadA-pastP-P","prompt_regime_comtext","nonlinear",0.0119988615836572,0.011991593625799,-7.2679578581869e-06,-58.1779233525922,-58.2093442646274,-0.0314209120351734,0.0022288543345284,0.00222923739150501,3.83056976615333e-07
"21","Hunting",0,"pastP-P","standard_context","instFirstReadA-pastQP-Q-P","prompt_regime_comtext","linear",0.0138262183747425,0.0175681893647592,0.00374197099001673,-35.5412555655112,-47.5614324806556,-12.0201769151445,0.00190792383129777,0.00256201265581358,0.000654088824515815
