"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE","mean_dll_vec_1","mean_dll_vec_2","diff_mean_dll"
"22","Hunting",0,"pastP-P","standard_context","instFirstReadA-pastQP-Q-P","prompt_regime_comtext","nonlinear",0.0134635186265938,0.0172543143135272,0.00379079568693332,-34.3899405207267,-46.2617125052602,-11.8717719845336,0.00184571946501646,0.00249355234659365,0.000647832881577186
"23","Gathering",1,"pastP-P","standard_context","instFirstReadA-Article-instReReadA-pastP-P","prompt_regime_comtext","linear",0.00585309158292224,-0.000909448446075115,-0.00676254002899736,-14.7870001567735,2.31935689455895,17.1063570513325,0.000790758008813007,-0.000148202789518868,-0.000938960798331875
"24","Gathering",1,"pastP-P","standard_context","instFirstReadA-Article-instReReadA-pastP-P","prompt_regime_comtext","nonlinear",0.00576614932585801,-0.0033056803145434,-0.0090718296404014,-14.4851453318097,8.16821224518753,22.6533575769972,0.000777024629510891,-0.000525467386491594,-0.00130249201600248
"25","Hunting",1,"pastP-P","standard_context","instFirstReadA-ArticleQfrP-instReReadA-pastQP-Q-P","prompt_regime_comtext","linear",0.00565217989777522,-0.00202497230396004,-0.00767715220173526,-8.80220844774703,5.2649531113675,14.0671615591145,0.000622855404437152,-0.000433149282399374,-0.00105600468683653
"26","Hunting",1,"pastP-P","standard_context","instFirstReadA-ArticleQfrP-instReReadA-pastQP-Q-P","prompt_regime_comtext","nonlinear",0.00606362440979516,-0.00133101455045809,-0.00739463896025325,-9.33953758139432,3.40727546867947,12.7468130500738,0.000647248426839299,-0.00029231261260166,-0.000939561039440959
"27","Hunting",0,"pastQP-Q-P","regime_comtext","instFirstReadA-pastQP-Q-P","prompt_regime_comtext","linear",0.0163865480594751,0.0175681893647592,0.00118164130528405,-44.2683794288005,-47.5614324806556,-3.29305305185517,0.00238875194871472,0.00256201265581358,0.000173260707098858
"28","Hunting",0,"pastQP-Q-P","regime_comtext","instFirstReadA-pastQP-Q-P","prompt_regime_comtext","nonlinear",0.0166330526838225,0.0172543143135272,0.000621261629704703,-44.6588909662551,-46.2617125052602,-1.60282153900516,0.00240929361066344,0.00249355234659365,8.42587359302055e-05
"29","Gathering",1,"Article-pastP-P","regime_comtext","instFirstReadA-Article-instReReadA-pastP-P","prompt_regime_comtext","linear",0.000545441957783194,-0.000909448446075115,-0.00145489040385831,-1.16902421479972,2.31935689455895,3.48838110935867,5.73177992797432e-05,-0.000148202789518868,-0.000205520588798611
"30","Gathering",1,"Article-pastP-P","regime_comtext","instFirstReadA-Article-instReReadA-pastP-P","prompt_regime_comtext","nonlinear",0.00329449751232413,-0.0033056803145434,-0.00660017782686753,-7.8723876714721,8.16821224518753,16.0405999166596,0.000413920290996312,-0.000525467386491594,-0.000939387677487906
"31","Hunting",1,"ArticleQfrP-pastQP-Q-P","regime_comtext","instFirstReadA-ArticleQfrP-instReReadA-pastQP-Q-P","prompt_regime_comtext","linear",-0.000992219633771704,-0.00202497230396004,-0.00103275267018833,1.77868919101365,5.2649531113675,3.48626392035385,-0.00012208495060307,-0.000433149282399374,-0.000311064331796304
"32","Hunting",1,"ArticleQfrP-pastQP-Q-P","regime_comtext","instFirstReadA-ArticleQfrP-instReReadA-pastQP-Q-P","prompt_regime_comtext","nonlinear",-0.000702571577567548,-0.00133101455045809,-0.000628442972890539,1.49223662912482,3.40727546867947,1.91503883955465,-0.000116620144162111,-0.00029231261260166,-0.000175692468439549
