"","has_preview_condition","reread_condition","linear","p_val"
"1","Gathering",0,"nonlinear",0.676
"2","Gathering",1,"nonlinear",0.993
"3","Hunting",0,"nonlinear",0.735
"4","Hunting",1,"nonlinear",0.838
