"","X","has_preview_condition","reread_condition","linear","p_val","context","article_level","filter_type","filler_plot","context_type","exclude_RegimeRepeatedReading","only_RegimeRepeatedReading","Regular","regime_plot"
"1",2,"Hunting",0,"nonlinear",0.519,"fillPastQP-fillerQ-P","article","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"2",1,"Gathering",1,"nonlinear",0.507,"fillArticle-fillPastP-P","article","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"3",2,"Hunting",1,"nonlinear",0.478,"fillArticleQfrP-fillPastQP-fillerQ-P","article","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"4",2,"Hunting",0,"nonlinear",0.551,"textFillPastQP-textFillQ-P","article","exclude_RegimeRepeatedReading",1,"text_control_context",1,0,1,0
"5",1,"Gathering",1,"nonlinear",0.63,"textFillArticle-textFillPastP-P","article","exclude_RegimeRepeatedReading",1,"text_control_context",1,0,1,0
"6",2,"Hunting",1,"nonlinear",0.194,"textFillArticleQfrP-textFillPastQP-textFillQ-P","article","exclude_RegimeRepeatedReading",1,"text_control_context",1,0,1,0
"7",1,"Gathering",0,"nonlinear",0.685,"pastP-P","article","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"8",2,"Gathering",1,"nonlinear",0.991,"pastP-P","article","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"9",3,"Hunting",0,"nonlinear",0.897,"pastP-P","article","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"10",4,"Hunting",1,"nonlinear",0.904,"pastP-P","article","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
