has_preview,instFirstReadP,instReReadP,instFirstReadA,instReReadA,instFirstReadS,instReReadS
Gathering,You will now read a paragraph.,You will now read the same paragraph again.,"You will now read an article, paragraph by paragraph.",You will now read the same article again.,You will now read articles about different topics. Each article will have several paragraphs.,You will now be reading again two of the articles which you have already read.
Hunting,You will now be given a question about a paragraph followed by the paragraph. You will need to answer the question.,You will now read the same paragraph again with a different question before the paragraph. You will need to answer the question.,"You will now read an article, paragraph by paragraph. Before each paragraph, you will be given a question that you will need to answer.",You will now read the same article again with a different question before each paragraph. You will need to answer the questions.,"You will now read articles about different topics. Each article will have several paragraphs. Before each paragraph, you will be given a question about the paragraph. You will need to answer the question.","You will now be reading again two of the articles which you have already read, and answering new questions about them."
