,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,filler_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,regime_plot,corrected_surp_p_val,corrected_prev_surp_p_val
38,39,39,0.0,0.0081841670919731,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.081841670919731
39,40,40,0.0,0.0001274995643916,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0012749956439159999
40,41,41,1.2632357462863802e-91,6.46476152069144e-21,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.2632357462863802e-90,6.46476152069144e-20
41,42,42,1.8504407184787099e-72,1.4754909011998502e-19,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.8504407184787097e-71,1.4754909011998502e-18
42,43,43,3.95869349616564e-75,8.47949251436752e-20,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,3.95869349616564e-74,8.47949251436752e-19
43,44,44,1.9360182997946e-76,1.45977473492912e-22,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.9360182997946e-75,1.45977473492912e-21
44,45,45,1.16722102535908e-70,7.034321195557041e-19,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.16722102535908e-69,7.034321195557041e-18
45,46,46,9.69127508398683e-80,3.47279812509775e-22,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,9.69127508398683e-79,3.47279812509775e-21
46,47,47,1.15425828450527e-74,8.65260693656181e-23,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.15425828450527e-73,8.65260693656181e-22
47,48,48,1.64837257363943e-99,7.89181552204084e-25,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.64837257363943e-98,7.891815522040841e-24
48,49,49,6.11534001737082e-79,9.97264093057987e-19,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,6.11534001737082e-78,9.97264093057987e-18
49,50,50,7.34748733840684e-90,6.89442790535985e-23,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,7.34748733840684e-89,6.89442790535985e-22
50,51,51,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
51,52,52,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
52,53,53,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
53,54,54,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
54,55,55,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
55,56,56,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
56,57,57,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
57,58,58,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
58,59,59,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
59,60,60,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
60,61,61,0.0001678496852432,0.878571579632074,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.0016784968524319998,1.0
61,62,62,5.93475309098288e-05,0.564509372574519,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.000593475309098288,1.0
62,63,63,0.0063485619976691,0.154105114426742,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.063485619976691,1.0
63,64,64,0.0029642652421814,0.0139702818859295,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.029642652421814002,0.139702818859295
64,65,65,0.0019574537161734,0.0323339866432955,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.019574537161734,0.32333986643295504
65,66,66,0.0025456229328527,0.0193379751409037,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.025456229328527,0.193379751409037
66,67,67,0.0266091514650827,0.0129556626989642,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.266091514650827,0.12955662698964202
67,68,68,0.0041000048219493,0.466123586114455,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.041000048219493004,1.0
68,69,69,0.106961386381983,0.854922149661732,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,1.0,1.0
