"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE"
"1","Hunting",0,"P","standard_context","Q-P","regime_comtext","linear",0.00714896364534845,0.00795856380688101,0.000809600161532559,-23.5247971342706,-26.1972224581459,-2.67242532387536
"2","Hunting",0,"P","standard_context","Q-P","regime_comtext","nonlinear",0.00798010751120282,0.00897885909118001,0.000998751579977197,-26.3170967756632,-29.6340651400642,-3.31696836440096
"3","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","linear",0.00714896364534845,0.00721452274967369,6.55591043252357e-05,-23.5247971342706,-23.6991782837231,-0.174381149452529
"4","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","nonlinear",0.00798010751120282,0.00812769115810075,0.000147583646897931,-26.3170967756632,-26.7623017459373,-0.445204970274062
"5","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","linear",0.00714896364534845,0.00650101474292306,-0.000647948902425394,-23.5247971342706,-21.1681858597913,2.35661127447929
"6","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","nonlinear",0.00798010751120282,0.00802646029728515,4.63527860823376e-05,-26.3170967756632,-26.251073109368,0.0660236662952229
"7","Gathering",1,"P","standard_context","P-P","regime_comtext","linear",0.00556595060159754,0.000258639836936345,-0.00530731076466119,-15.0133153947645,-0.541059466906518,14.472255927858
"8","Gathering",1,"P","standard_context","P-P","regime_comtext","nonlinear",0.00665202045705957,0.00256560131345651,-0.00408641914360305,-17.9079200376873,-6.05305817270528,11.854861864982
"9","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","linear",0.00556595060159754,0.00535596601237898,-0.000209984589218559,-15.0133153947645,-14.4710078034659,0.542307591298595
"10","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","nonlinear",0.00665202045705957,0.0070267126685663,0.000374692211506739,-17.9079200376873,-18.9477589507715,-1.03983891308417
"11","Gathering",1,"P","standard_context","textFillP-P","text_control_context","linear",0.00556595060159754,0.00441863833505993,-0.00114731226653761,-15.0133153947645,-11.8022786720285,3.21103672273603
"12","Gathering",1,"P","standard_context","textFillP-P","text_control_context","nonlinear",0.00665202045705957,0.00563600188378652,-0.00101601857327305,-17.9079200376873,-15.030751291557,2.87716874613034
"13","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","linear",0.00228581627906009,-0.000542909138759026,-0.00282872541781912,-3.70737414063933,0.974082338023436,4.68145647866277
"14","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","nonlinear",0.00279118441469822,-0.000979025070158179,-0.0037702094848564,-4.39540098765974,1.96097584336167,6.35637683102141
"15","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","linear",0.00228581627906009,0.00227684348278558,-8.97279627451453e-06,-3.70737414063933,-3.71780995010522,-0.0104358094658892
"16","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","nonlinear",0.00279118441469822,0.00252146971849969,-0.000269714696198534,-4.39540098765974,-3.9236108663099,0.471790121349841
"17","Hunting",1,"P","standard_context","textFillQfr-textFillP-textFillQ-P","text_control_context","linear",0.00228581627906009,0.00212112276561516,-0.000164693513444933,-3.70737414063933,-3.44820042218998,0.259173718449347
"18","Hunting",1,"P","standard_context","textFillQfr-textFillP-textFillQ-P","text_control_context","nonlinear",0.00279118441469822,0.00321988747514618,0.000428703060447955,-4.39540098765974,-5.18969397426099,-0.794292986601249
"19","Gathering",1,"P","standard_context","instFirstReadP-P","prompt_regime_comtext","linear",0.00556595060159754,0.00484602229716047,-0.000719928304437067,-15.0133153947645,-13.145580786133,1.86773460863151
