"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE"
"1","Hunting",0,"P","standard_context","Q-P","regime_comtext","linear",0.00758808635325994,0.00893727172073214,0.00134918536747219,-24.9144714105987,-29.4451953927783,-4.53072398217955
"2","Hunting",0,"P","standard_context","Q-P","regime_comtext","nonlinear",0.00881858623970991,0.0098112117869846,0.000992625547274695,-29.0552893562599,-32.4016039611452,-3.34631460488526
"3","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","linear",0.00758808635325994,0.00730095865320313,-0.000287127700056816,-24.9144714105987,-23.9431264023824,0.971345008216304
"4","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","nonlinear",0.00881858623970991,0.00873171925419763,-8.68669855122739e-05,-29.0552893562599,-28.7512116060097,0.304077750250144
"5","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","linear",0.00758808635325994,0.00692119269639485,-0.000666893656865092,-24.9144714105987,-22.4862172630583,2.42825414754043
"6","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","nonlinear",0.00881858623970991,0.00890464759261167,8.60613529017618e-05,-29.0552893562599,-29.0982012001023,-0.0429118438423757
"7","Gathering",1,"P","standard_context","P-P","regime_comtext","linear",0.00613068714282075,0.00124742627604567,-0.00488326086677508,-16.5798148711183,-2.81925674140257,13.7605581297157
"8","Gathering",1,"P","standard_context","P-P","regime_comtext","nonlinear",0.00685689809899559,0.00319316394630911,-0.00366373415268648,-18.4941777648473,-7.11828499276635,11.375892772081
"9","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","linear",0.00613068714282075,0.00602724927769815,-0.000103437865122596,-16.5798148711183,-16.3470551208757,0.232759750242622
"10","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","nonlinear",0.00685689809899559,0.00725760373281931,0.000400705633823717,-18.4941777648473,-19.6590347532856,-1.16485698843826
"11","Gathering",1,"P","standard_context","textFillP-P","text_control_context","linear",0.00613068714282075,0.00446593711777452,-0.00166475002504624,-16.5798148711183,-11.9084762449602,4.6713386261581
"12","Gathering",1,"P","standard_context","textFillP-P","text_control_context","nonlinear",0.00685689809899559,0.00639760406929912,-0.000459294029696466,-18.4941777648473,-17.2203317579497,1.27384600689766
"13","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","linear",0.00292189734843055,-0.000565659145335073,-0.00348755649376563,-4.77634001547358,0.979906549957377,5.75624656543096
"14","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","nonlinear",0.00428354436433767,-0.000794730713701203,-0.00507827507803887,-7.08201046149952,1.49678462669181,8.57879508819133
"15","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","linear",0.00292189734843055,0.00258759455606165,-0.000334302792368901,-4.77634001547358,-4.17933472911318,0.5970052863604
