,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,filler_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,regime_plot,corrected_surp_p_val,corrected_prev_surp_p_val
38,39,39,0.0,0.000971678595571,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.00971678595571
39,40,40,0.0,0.0007806698114978,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.007806698114977999
40,41,41,8.45171169266044e-113,1.37861474757931e-26,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,8.45171169266044e-112,1.3786147475793099e-25
41,42,42,3.22318792062221e-119,7.81720438272937e-37,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,3.22318792062221e-118,7.81720438272937e-36
42,43,43,8.03956571706844e-115,5.126114599530389e-28,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,8.03956571706844e-114,5.126114599530389e-27
43,44,44,5.03222747190482e-112,2.00903907762964e-29,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,5.03222747190482e-111,2.0090390776296402e-28
44,45,45,4.44483232270701e-120,1.0013042808424101e-25,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,4.44483232270701e-119,1.00130428084241e-24
45,46,46,8.08714741786674e-112,4.97998291985295e-31,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,8.08714741786674e-111,4.97998291985295e-30
46,47,47,5.5736590723322405e-104,1.5193176963283301e-23,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,5.57365907233224e-103,1.5193176963283303e-22
47,48,48,7.38991467414351e-136,4.621152357393171e-31,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,7.38991467414351e-135,4.6211523573931706e-30
48,49,49,8.555417024412819e-116,4.255492568018591e-25,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,8.55541702441282e-115,4.255492568018591e-24
49,50,50,1.09548356213655e-119,1.5221987010367401e-31,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.09548356213655e-118,1.52219870103674e-30
50,51,51,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
51,52,52,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
52,53,53,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
53,54,54,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
54,55,55,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
55,56,56,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
56,57,57,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
57,58,58,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
58,59,59,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
59,60,60,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
60,61,61,0.0050352813227265,0.656269464266211,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.050352813227265,1.0
61,62,62,0.028252978223388,0.784533355757617,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.28252978223388003,1.0
62,63,63,2.05168650689293e-05,0.727657310171646,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.00020516865068929299,1.0
63,64,64,3.32850291527988e-06,0.217667213436765,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,3.3285029152798804e-05,1.0
64,65,65,6.94427572180011e-06,0.0861922172197353,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,6.94427572180011e-05,0.861922172197353
65,66,66,0.0040392570336199,0.83783243087306,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.040392570336199,1.0
66,67,67,0.0073195478407424,0.949807699545852,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.073195478407424,1.0
67,68,68,0.0361975824550297,0.793896497746183,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.361975824550297,1.0
68,69,69,6.96398844853967e-07,0.0122402662960153,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,6.96398844853967e-06,0.12240266296015301
69,70,70,8.95841492203382e-05,0.918526605145833,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.000895841492203382,1.0
70,71,71,0.0001300145844144,0.426792590590845,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.001300145844144,1.0
71,72,72,1.48201116328961e-06,0.741104461004072,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,1.48201116328961e-05,1.0
72,73,73,3.2580950117822e-06,0.337259214334277,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,3.2580950117822e-05,1.0
73,74,74,0.0055793652914463,0.0509357534284071,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.055793652914463,0.509357534284071
74,75,75,0.0006746191285106,0.32934779937935,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.006746191285106,1.0
75,76,76,8.80915748646682e-06,0.0513950593495265,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,8.80915748646682e-05,0.513950593495265
76,77,77,6.00985293308653e-07,0.404822283406143,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,6.0098529330865304e-06,1.0
77,78,78,0.0087040845776036,0.0459553007615756,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.08704084577603599,0.459553007615756
78,79,79,8.27232502109698e-07,0.0009494738597486,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,8.27232502109698e-06,0.009494738597486
79,80,80,0.0025459017615061,0.0309965322956538,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.025459017615061003,0.309965322956538
80,81,1,1.11967776719414e-13,0.387828091528779,Gathering,1,linear,True,fillP-P,dots_control_context,1,1,0,1,0,1.11967776719414e-12,1.0
81,82,2,3.9867163739806403e-19,0.234395674093991,Gathering,1,linear,True,fillP-P,dots_control_context,1,1,0,1,0,3.98671637398064e-18,1.0
82,83,3,7.69966766502699e-15,0.0340847223122813,Gathering,1,linear,True,fillP-P,dots_control_context,1,1,0,1,0,7.69966766502699e-14,0.340847223122813
83,84,4,2.39818128832416e-15,0.752050815301234,Gathering,1,linear,True,fillP-P,dots_control_context,1,1,0,1,0,2.39818128832416e-14,1.0
84,85,5,1.3614016060572201e-17,0.455272205914834,Gathering,1,linear,True,fillP-P,dots_control_context,1,1,0,1,0,1.3614016060572201e-16,1.0
85,86,6,6.78666528886123e-16,0.0864241288193173,Gathering,1,linear,True,fillP-P,dots_control_context,1,1,0,1,0,6.78666528886123e-15,0.8642412881931729
86,87,7,1.75597043276487e-20,0.506604988190677,Gathering,1,linear,True,fillP-P,dots_control_context,1,1,0,1,0,1.75597043276487e-19,1.0
87,88,8,6.7196040615318005e-15,0.565838498426719,Gathering,1,linear,True,fillP-P,dots_control_context,1,1,0,1,0,6.7196040615318e-14,1.0
88,89,9,2.27527537068226e-18,0.708311341431782,Gathering,1,linear,True,fillP-P,dots_control_context,1,1,0,1,0,2.27527537068226e-17,1.0
89,90,10,1.86633586776945e-22,0.373545895344866,Gathering,1,linear,True,fillP-P,dots_control_context,1,1,0,1,0,1.86633586776945e-21,1.0
90,91,11,0.0,5.01045000835809e-05,Gathering,1,nonlinear,True,fillP-P,dots_control_context,1,1,0,1,0,0.0,0.000501045000835809
91,92,12,0.0,1.57989080037946e-05,Gathering,1,nonlinear,True,fillP-P,dots_control_context,1,1,0,1,0,0.0,0.000157989080037946
92,93,13,0.0,1.26653967856827e-05,Gathering,1,nonlinear,True,fillP-P,dots_control_context,1,1,0,1,0,0.0,0.000126653967856827
93,94,14,0.0,1.27901565249999e-06,Gathering,1,nonlinear,True,fillP-P,dots_control_context,1,1,0,1,0,0.0,1.2790156524999899e-05
94,95,15,0.0,3.86913661004629e-06,Gathering,1,nonlinear,True,fillP-P,dots_control_context,1,1,0,1,0,0.0,3.86913661004629e-05
95,96,16,0.0,1.05035172865975e-05,Gathering,1,nonlinear,True,fillP-P,dots_control_context,1,1,0,1,0,0.0,0.00010503517286597499
96,97,17,0.0,0.0002109632828211,Gathering,1,nonlinear,True,fillP-P,dots_control_context,1,1,0,1,0,0.0,0.002109632828211
