"","m","upper","lower","norm_upper","norm_lower","w_norm_CI","w_new_CI","has_preview_condition","reread_condition","linear","new_p_val","n_sim"
"1",0.000858276651207465,0.000994744842890227,0.000719031913657075,0.000994242583583409,0.000722310718831522,0.000271931864751887,0.000275712929233152,"Gathering",0,"linear",0.001,1000
"2",0.00114288201314712,0.0012832056974289,0.00100383191509322,0.00128492273149099,0.00100084129480324,0.000284081436687752,0.000279373782335679,"Gathering",0,"nonlinear",0.001,1000
"3",0.000175002976588277,0.000430655997553315,-5.7151602810525e-05,0.000424015826743771,-7.40098735672175e-05,0.000498025700310988,0.00048780760036384,"Gathering",1,"linear",0.157,1000
"4",0.000584347606915638,0.000825631165802873,0.0003126638403543,0.000850796038159995,0.000317899175671281,0.000532896862488714,0.000512967325448573,"Gathering",1,"nonlinear",0.001,1000
"5",0.000575194066807119,0.000707985477937305,0.000443895050767275,0.000706733239525423,0.000443654894088815,0.000263078345436608,0.00026409042717003,"Hunting",0,"linear",0.001,1000
"6",0.000931778614214603,0.00107329374423565,0.000791860473863716,0.00107107204432605,0.000792485184103153,0.000278586860222901,0.000281433270371939,"Hunting",0,"nonlinear",0.001,1000
"7",6.16084657519594e-05,0.000248267376525704,-0.000143838010256096,0.000260034286855672,-0.000136817355351753,0.000396851642207424,0.000392105386781801,"Hunting",1,"linear",0.517,1000
"8",0.000185482898059857,0.000397543351033628,-3.70109340163387e-05,0.000402618697313568,-3.16529011938543e-05,0.000434271598507422,0.000434554285049967,"Hunting",1,"nonlinear",0.082,1000
