"","x","y","has_preview_condition","reread_condition"
"1",0.0116806971131201,0.2466656558056,"Gathering",0
"2",0.0347855595764998,0.256214680838424,"Gathering",0
"3",0.0578904220398794,0.264482571738979,"Gathering",0
"4",0.080995284503259,0.271328826265818,"Gathering",0
"5",0.104100146966639,0.276761085096068,"Gathering",0
"6",0.127205009430018,0.280767081656397,"Gathering",0
"7",0.150309871893398,0.283366966215067,"Gathering",0
"8",0.173414734356777,0.284611106090702,"Gathering",0
"9",0.196519596820157,0.284576814444073,"Gathering",0
"10",0.219624459283537,0.283364224242612,"Gathering",0
"11",0.242729321746916,0.281091558026291,"Gathering",0
"12",0.265834184210296,0.277890059968148,"Gathering",0
"13",0.288939046673676,0.273898854580207,"Gathering",0
"14",0.312043909137055,0.269259977839705,"Gathering",0
"15",0.335148771600435,0.264113794235041,"Gathering",0
"16",0.358253634063814,0.258594970814359,"Gathering",0
"17",0.381358496527194,0.252829130764272,"Gathering",0
"18",0.404463358990574,0.246930258412474,"Gathering",0
"19",0.427568221453953,0.240998878602096,"Gathering",0
"20",0.450673083917333,0.23512098931378,"Gathering",0
"21",0.473777946380713,0.229367689618678,"Gathering",0
"22",0.496882808844092,0.223795417051779,"Gathering",0
"23",0.519987671307472,0.218446689925103,"Gathering",0
"24",0.543092533770851,0.213351240758122,"Gathering",0
"25",0.566197396234231,0.208527426010863,"Gathering",0
"26",0.589302258697611,0.203983803285962,"Gathering",0
"27",0.61240712116099,0.199720778443399,"Gathering",0
"28",0.63551198362437,0.19573223986648,"Gathering",0
"29",0.65861684608775,0.192014043273129,"Gathering",0
"30",0.681721708551129,0.188547054332842,"Gathering",0
"31",0.704826571014509,0.185310341604046,"Gathering",0
"32",0.727931433477888,0.182285850105258,"Gathering",0
"33",0.751036295941268,0.179455361896024,"Gathering",0
"34",0.774141158404648,0.176801165390938,"Gathering",0
"35",0.797246020868027,0.174306554691283,"Gathering",0
"36",0.820350883331407,0.171956174478621,"Gathering",0
"37",0.843455745794786,0.16973622857966,"Gathering",0
"38",0.866560608258166,0.167634571648928,"Gathering",0
"39",0.889665470721546,0.165640703852493,"Gathering",0
"40",0.912770333184925,0.16374568823376,"Gathering",0
"41",0.935875195648305,0.161942009786613,"Gathering",0
"42",0.958980058111685,0.160223394265248,"Gathering",0
"43",0.982084920575064,0.158584603477714,"Gathering",0
"44",1.00518978303844,0.157021222256237,"Gathering",0
"45",1.02829464550182,0.155529450469018,"Gathering",0
"46",1.0513995079652,0.154105911335786,"Gathering",0
"47",1.07450437042858,0.152747484953495,"Gathering",0
"48",1.09760923289196,0.151451173379989,"Gathering",0
"49",1.12071409535534,0.150214000947416,"Gathering",0
"50",1.14381895781872,0.149032950799627,"Gathering",0
"51",1.1669238202821,0.147904936106194,"Gathering",0
"52",1.19002868274548,0.146826802145621,"Gathering",0
"53",1.21313354520886,0.145795353609225,"Gathering",0
"54",1.23623840767224,0.144807884766507,"Gathering",0
"55",1.25934327013562,0.143861845708026,"Gathering",0
"56",1.282448132599,0.142952915742954,"Gathering",0
"57",1.30555299506238,0.142078292988944,"Gathering",0
"58",1.32865785752576,0.141235399568147,"Gathering",0
