"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE"
"1","Hunting",0,"P","standard_context","Q-P","regime_comtext","linear",0.0076676553342464,0.00924638999682911,0.00157873466258271,-25.1698455487094,-30.510388256469,-5.3405427077596
"2","Hunting",0,"P","standard_context","Q-P","regime_comtext","nonlinear",0.00909826504234851,0.0101134908922963,0.00101522584994776,-29.9839022545621,-33.4473566339184,-3.46345437935634
"3","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","linear",0.0076676553342464,0.0073499543754367,-0.000317700958809702,-25.1698455487094,-24.1172708855793,1.05257466313014
"4","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","nonlinear",0.00909826504234851,0.00891746562352119,-0.000180799418827315,-29.9839022545621,-29.3918083062581,0.592093948303955
"5","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","linear",0.0076676553342464,0.0067956321877668,-0.000872023146479606,-25.1698455487094,-21.9431957010183,3.22664984769108
"6","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","nonlinear",0.00909826504234851,0.00912251001773534,2.42449753868335e-05,-29.9839022545621,-29.6628792199044,0.321023034657628
"7","Gathering",1,"P","standard_context","P-P","regime_comtext","linear",0.00596462819924232,0.000910954274432718,-0.0050536739248096,-16.0422624210642,-2.09933683553754,13.9429255855266
"8","Gathering",1,"P","standard_context","P-P","regime_comtext","nonlinear",0.00690786112067532,0.00210147316923152,-0.00480638795144379,-18.5401134919302,-4.51844426162825,14.021669230302
"9","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","linear",0.00596462819924232,0.00571264204745761,-0.000251986151784706,-16.0422624210642,-15.425804209719,0.616458211345162
"10","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","nonlinear",0.00690786112067532,0.00717029232225594,0.000262431201580621,-18.5401134919302,-19.4194598871672,-0.879346395237008
"11","Gathering",1,"P","standard_context","textFillP-P","text_control_context","linear",0.00596462819924232,0.00553196057307501,-0.00043266762616731,-16.0422624210642,-14.776986014529,1.26527640653512
"12","Gathering",1,"P","standard_context","textFillP-P","text_control_context","nonlinear",0.00690786112067532,0.00729917614150208,0.00039131502082676,-18.5401134919302,-19.570397537831,-1.03028404590077
"13","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","linear",0.0027011965865046,0.000894243153919644,-0.00180695343258495,-4.41257783078436,-1.42351561983287,2.98906221095149
"14","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","nonlinear",0.00384451990108327,0.0005117740594201,-0.00333274584166317,-6.34215791900988,-0.565409600509156,5.77674831850072
"15","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","linear",0.0027011965865046,0.00253029460431466,-0.000170901982189942,-4.41257783078436,-4.11326853139872,0.299309299385641
"16","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","nonlinear",0.00384451990108327,0.00379714733874842,-4.73725623348492e-05,-6.34215791900988,-6.24501262475042,0.0971452942594624
"17","Hunting",1,"P","standard_context","textFillQfr-textFillP-textFillQ-P","text_control_context","linear",0.0027011965865046,0.00214606995728116,-0.00055512662922344,-4.41257783078436,-3.46997971523069,0.942598115553665
"18","Hunting",1,"P","standard_context","textFillQfr-textFillP-textFillQ-P","text_control_context","nonlinear",0.00384451990108327,0.00406371670099627,0.000219196799913002,-6.34215791900988,-6.73438136150071,-0.392223442490831
"19","Gathering",1,"P","standard_context","instFirstReadP-P","prompt_regime_comtext","linear",0.00596462819924232,0.00470280065720313,-0.00126182754203918,-16.0422624210642,-12.5333327894932,3.50892963157094
"20","Gathering",1,"P","standard_context","instFirstReadP-P","prompt_regime_comtext","nonlinear",0.00690786112067532,0.00631924336077544,-0.000588617759899879,-18.5401134919302,-16.9454920036223,1.59462148830789
"21","Hunting",0,"P","standard_context","instFirstReadP-Q-P","prompt_regime_comtext","linear",0.0076676553342464,0.00904952920037272,0.00138187386612632,-25.1698455487094,-29.822853730002,-4.65300818129253
"22","Hunting",0,"P","standard_context","instFirstReadP-Q-P","prompt_regime_comtext","nonlinear",0.00909826504234851,0.0101487219181024,0.00105045687575389,-29.9839022545621,-33.5487246103676,-3.56482235580552
"23","Gathering",1,"P","standard_context","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","linear",0.00596462819924232,0.00126114329296774,-0.00470348490627458,-16.0422624210642,-3.0705910984143,12.9716713226499
"24","Gathering",1,"P","standard_context","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","nonlinear",0.00690786112067532,0.00261992848522613,-0.00428793263544919,-18.5401134919302,-6.1341607050399,12.4059527868903
"25","Hunting",1,"P","standard_context","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","linear",0.0027011965865046,-0.000322031629214639,-0.00302322821571924,-4.41257783078436,0.622411163751167,5.03498899453552
"26","Hunting",1,"P","standard_context","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","nonlinear",0.00384451990108327,0.00163384682243509,-0.00221067307864818,-6.34215791900988,-2.55013888990288,3.792019029107
"27","Hunting",0,"Q-P","regime_comtext","instFirstReadP-Q-P","prompt_regime_comtext","linear",0.00924638999682911,0.00904952920037272,-0.000196860796456394,-30.510388256469,-29.822853730002,0.687534526467061
"28","Hunting",0,"Q-P","regime_comtext","instFirstReadP-Q-P","prompt_regime_comtext","nonlinear",0.0101134908922963,0.0101487219181024,3.52310258061317e-05,-33.4473566339184,-33.5487246103676,-0.101367976449183
"29","Gathering",1,"P-P","regime_comtext","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","linear",-0.000108133278764466,0.00126114329296774,0.00136927657173221,0.506109040297815,-3.0705910984143,-3.57670013871211
