"","has_preview_condition","reread_condition","linear","p_val"
"1","Gathering",0,"nonlinear",0.029
"2","Gathering",1,"nonlinear",0.213
"3","Hunting",0,"nonlinear",0.452
"4","Hunting",1,"nonlinear",0.719
