"","x","y","has_preview_condition","reread_consecutive_condition"
"1",0.00580473297270712,0.0499460244878784,"Gathering",11
"2",0.0164986508524469,0.0510113275925036,"Gathering",11
"3",0.0271925687321866,0.0520711941305424,"Gathering",11
"4",0.0378864866119262,0.0531248337028653,"Gathering",11
"5",0.0485804044916658,0.0541714797842508,"Gathering",11
"6",0.0592743223714054,0.0552103916056836,"Gathering",11
"7",0.069968240251145,0.0562408559447591,"Gathering",11
"8",0.0806621581308848,0.0572621888189102,"Gathering",11
"9",0.0913560760106245,0.0582737370763707,"Gathering",11
"10",0.102049993890364,0.0592738572146863,"Gathering",11
"11",0.112743911770104,0.0602621977096764,"Gathering",11
"12",0.123437829649843,0.0612388277509195,"Gathering",11
"13",0.134131747529583,0.0622032554110295,"Gathering",11
"14",0.144825665409323,0.0631550264712471,"Gathering",11
"15",0.155519583289062,0.0640937250564439,"Gathering",11
"16",0.166213501168802,0.0650189741368246,"Gathering",11
"17",0.176907419048542,0.0659304358957107,"Gathering",11
"18",0.187601336928281,0.0668278119630716,"Gathering",11
"19",0.198295254808021,0.067708882686532,"Gathering",11
"20",0.208989172687761,0.0685751219345367,"Gathering",11
"21",0.2196830905675,0.0694265862685032,"Gathering",11
"22",0.23037700844724,0.0702631584939321,"Gathering",11
"23",0.241070926326979,0.0710847591229911,"Gathering",11
"24",0.251764844206719,0.0718913456109544,"Gathering",11
"25",0.262458762086459,0.0726829114802863,"Gathering",11
"26",0.273152679966199,0.0734594853365095,"Gathering",11
"27",0.283846597845938,0.0742207207592841,"Gathering",11
"28",0.294540515725678,0.074965355678199,"Gathering",11
"29",0.305234433605417,0.0756953459828326,"Gathering",11
"30",0.315928351485157,0.076410865776564,"Gathering",11
"31",0.326622269364897,0.0771121161044826,"Gathering",11
"32",0.337316187244636,0.0777993233286399,"Gathering",11
"33",0.348010105124376,0.0784727374529408,"Gathering",11
"34",0.358704023004116,0.0791326304040517,"Gathering",11
"35",0.369397940883855,0.0797792942747254,"Gathering",11
"36",0.380091858763595,0.0804121642777404,"Gathering",11
"37",0.390785776643334,0.0810315456718675,"Gathering",11
"38",0.401479694523074,0.081638804781671,"Gathering",11
"39",0.412173612402814,0.0822343017025026,"Gathering",11
"40",0.422867530282554,0.0828184056551769,"Gathering",11
"41",0.433561448162293,0.0833914931952282,"Gathering",11
"42",0.444255366042033,0.0839539464492661,"Gathering",11
"43",0.454949283921772,0.0845061513838108,"Gathering",11
"44",0.465643201801512,0.0850484961118495,"Gathering",11
"45",0.476337119681252,0.0855803614516072,"Gathering",11
"46",0.487031037560991,0.0861029323826773,"Gathering",11
"47",0.497724955440731,0.0866169344225879,"Gathering",11
"48",0.508418873320471,0.0871227434743447,"Gathering",11
"49",0.51911279120021,0.0876207285887226,"Gathering",11
"50",0.52980670907995,0.0881112507434969,"Gathering",11
"51",0.54050062695969,0.0885946616991828,"Gathering",11
"52",0.551194544839429,0.0890713029332635,"Gathering",11
"53",0.561888462719169,0.08954146910483,"Gathering",11
"54",0.572582380598909,0.0900047002449653,"Gathering",11
"55",0.583276298478648,0.090462213430512,"Gathering",11
"56",0.593970216358388,0.0909142905355261,"Gathering",11
"57",0.604664134238128,0.0913611986089142,"Gathering",11
"58",0.615358052117867,0.0918031894585092,"Gathering",11
"59",0.626051969997607,0.09224049931623,"Gathering",11
"60",0.636745887877346,0.0926733485828714,"Gathering",11
"61",0.647439805757086,0.0931019416509219,"Gathering",11
"62",0.658133723636826,0.0935262805265431,"Gathering",11
"63",0.668827641516565,0.0939463692559607,"Gathering",11
"64",0.679521559396305,0.09436276241634,"Gathering",11
"65",0.690215477276045,0.0947755903211655,"Gathering",11
"66",0.700909395155784,0.0951849678686774,"Gathering",11
"67",0.711603313035524,0.095590994879161,"Gathering",11
"68",0.722297230915264,0.095993756481915,"Gathering",11
"69",0.732991148795003,0.0963933235484634,"Gathering",11
"70",0.743685066674743,0.0967897531685401,"Gathering",11
"71",0.754378984554483,0.097182811964819,"Gathering",11
"72",0.765072902434222,0.0975726335899741,"Gathering",11
"73",0.775766820313962,0.0979594101843436,"Gathering",11
"74",0.786460738193701,0.0983431429101519,"Gathering",11
"75",0.797154656073441,0.0987238227655149,"Gathering",11
"76",0.807848573953181,0.0991014312498317,"Gathering",11
"77",0.81854249183292,0.0994759410355763,"Gathering",11
"78",0.82923640971266,0.0998473166433847,"Gathering",11
"79",0.8399303275924,0.1002155151174,"Gathering",11
"80",0.850624245472139,0.100580047259126,"Gathering",11
"81",0.861318163351879,0.100941222864633,"Gathering",11
"82",0.872012081231619,0.101299029343883,"Gathering",11
"83",0.882705999111358,0.101653398438643,"Gathering",11
"84",0.893399916991098,0.102004258296246,"Gathering",11
"85",0.904093834870838,0.102351534042988,"Gathering",11
"86",0.914787752750577,0.102695148334891,"Gathering",11
"87",0.925481670630317,0.103035021884609,"Gathering",11
"88",0.936175588510057,0.103370970188118,"Gathering",11
"89",0.946869506389796,0.103702518433189,"Gathering",11
"90",0.957563424269536,0.104030052661199,"Gathering",11
"91",0.968257342149276,0.104353490996003,"Gathering",11
"92",0.978951260029015,0.104672752194348,"Gathering",11
"93",0.989645177908755,0.104987755960634,"Gathering",11
"94",1.00033909578849,0.10529842323474,"Gathering",11
"95",1.01103301366823,0.105604676453499,"Gathering",11
"96",1.02172693154797,0.105906439786494,"Gathering",11
"97",1.03242084942771,0.106203318972206,"Gathering",11
"98",1.04311476730745,0.106495172687493,"Gathering",11
"99",1.05380868518719,0.106782298884186,"Gathering",11
