,has_preview_condition,reread_consecutive_condition,linear,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,Gathering,11,linear,0.0017324987527040877,0.06403361408385326,**,(.),180,90,180,125,30,30
1,Gathering,11,nonlinear,0.00031285066345322605,0.03348244548214467,***,*,260,90,260,125,30,30
2,Gathering,12,linear,2.761967856384931e-09,0.37971816992901714,***,(.),180,550,180,585,30,30
3,Gathering,12,nonlinear,0.0,0.26209079762592713,***,(.),260,550,260,585,30,30
4,Hunting,11,linear,0.029188171462399708,0.13989425368451494,*,(.),670,90,670,125,30,30
5,Hunting,11,nonlinear,0.007954960520123608,0.13255078513033014,**,(.),750,90,750,125,30,30
6,Hunting,12,linear,0.006230747156248559,0.515346828673896,**,(.),670,550,670,585,30,30
7,Hunting,12,nonlinear,0.0068267119266408344,0.5245865116318734,**,(.),750,550,750,585,30,30
