,has_preview_condition,reread_consecutive_condition,linear,surp_p_val,prev_surp_p_val,corrected_surp_p_val,corrected_prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,Gathering,11,linear,4.80822981370392e-05,0.0002379074838275,0.00048082298137039196,0.002379074838275,***,**,180,90,180,125,30,30
1,Gathering,11,nonlinear,1.99404429901406e-05,0.0054771485751695,0.000199404429901406,0.054771485751695,***,(.),260,90,260,125,30,30
2,Gathering,12,linear,9.52692822852444e-08,0.0002109923646743,9.52692822852444e-07,0.002109923646743,***,**,180,550,180,585,30,30
3,Gathering,12,nonlinear,0.0,6.8616814769995e-05,0.0,0.00068616814769995,***,***,260,550,260,585,30,30
4,Hunting,11,linear,0.0001777500070615,0.00994445237762,0.001777500070615,0.0994445237762,**,(.),670,90,670,125,30,30
5,Hunting,11,nonlinear,0.0006722049791059,0.0056343062751915,0.006722049791059,0.056343062751915,**,(.),750,90,750,125,30,30
6,Hunting,12,linear,1.06897144317303e-06,0.224635159378209,1.06897144317303e-05,1.0,***,(.),670,550,670,585,30,30
7,Hunting,12,nonlinear,0.0,0.0291657870823746,0.0,0.291657870823746,***,(.),750,550,750,585,30,30
