"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_consecutive_condition","linear","additive_model"
"63",0.153695853982245,0.774269671285434,TRUE,"Hunting",12,"linear",TRUE
"64",0.00281235763115263,0.482838698919747,TRUE,"Hunting",12,"linear",TRUE
"65",7.42276348407092e-06,0.870362294227319,TRUE,"Hunting",12,"linear",TRUE
"66",2.88908102856822e-05,0.525378471630477,TRUE,"Hunting",12,"linear",TRUE
"67",0.00115080097786759,0.557812778764788,TRUE,"Hunting",12,"linear",TRUE
"68",0.000563370856960611,0.530461549275665,TRUE,"Hunting",12,"linear",TRUE
"69",5.33623960637398e-05,0.110953709196031,TRUE,"Hunting",12,"linear",TRUE
"70",0.000800058368654546,0.923399801283471,TRUE,"Hunting",12,"linear",TRUE
"71",0.0028865282152486,0.874899090666286,TRUE,"Hunting",12,"nonlinear",TRUE
"72",0.00504105261648774,0.413781617822292,TRUE,"Hunting",12,"nonlinear",TRUE
"73",0.000208246916469035,0.695671436013068,TRUE,"Hunting",12,"nonlinear",TRUE
"74",0.00657815771916753,0.650546185791332,TRUE,"Hunting",12,"nonlinear",TRUE
"75",0.00122284929427224,0.771601270694858,TRUE,"Hunting",12,"nonlinear",TRUE
"76",0.0202680341635722,0.289945399463157,TRUE,"Hunting",12,"nonlinear",TRUE
"77",3.90060639404721e-06,0.295308193979283,TRUE,"Hunting",12,"nonlinear",TRUE
"78",0.000330710095488573,0.125503513168806,TRUE,"Hunting",12,"nonlinear",TRUE
"79",0.00616499914325358,0.67921639876113,TRUE,"Hunting",12,"nonlinear",TRUE
"80",0.000769455257742135,0.453368010181027,TRUE,"Hunting",12,"nonlinear",TRUE
