"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_consecutive_condition","linear","additive_model"
"1",2.00240238397867e-06,0.335824523598903,TRUE,"Gathering",11,"linear",TRUE
"2",5.28004754722768e-08,0.921651249361072,TRUE,"Gathering",11,"linear",TRUE
"3",9.85223396303406e-08,0.806473541164742,TRUE,"Gathering",11,"linear",TRUE
"4",1.01261674681203e-08,0.932399300284588,TRUE,"Gathering",11,"linear",TRUE
"5",3.83410677252838e-07,0.495599707092844,TRUE,"Gathering",11,"linear",TRUE
"6",4.76571208734186e-05,0.871150966157092,TRUE,"Gathering",11,"linear",TRUE
"7",3.18477857355183e-07,0.189222813720461,TRUE,"Gathering",11,"linear",TRUE
"8",3.65997653369255e-06,0.566668200886135,TRUE,"Gathering",11,"linear",TRUE
"9",6.22681939171658e-05,0.0582633417595231,TRUE,"Gathering",11,"linear",TRUE
"10",2.49195131732656e-10,0.885669221444402,TRUE,"Gathering",11,"linear",TRUE
"11",0,0.0351763369653765,TRUE,"Gathering",11,"nonlinear",TRUE
"12",9.32907354339596e-06,0.067363469441659,TRUE,"Gathering",11,"nonlinear",TRUE
"13",0,0.318547881480197,TRUE,"Gathering",11,"nonlinear",TRUE
"14",1.35678649992865e-06,0.303280325233583,TRUE,"Gathering",11,"nonlinear",TRUE
"15",0,0.17117157270687,TRUE,"Gathering",11,"nonlinear",TRUE
"16",0,0.0884976684573118,TRUE,"Gathering",11,"nonlinear",TRUE
"17",0,0.0731778741433868,TRUE,"Gathering",11,"nonlinear",TRUE
"18",0,0.229475554818796,TRUE,"Gathering",11,"nonlinear",TRUE
"19",1.69755098766711e-06,0.111744382729364,TRUE,"Gathering",11,"nonlinear",TRUE
"20",3.38854867110161e-07,0.0113915379612149,TRUE,"Gathering",11,"nonlinear",TRUE
"21",2.31295994472066e-10,0.00551032546203946,TRUE,"Gathering",12,"linear",TRUE
"22",1.16986754749693e-09,0.00561427741298984,TRUE,"Gathering",12,"linear",TRUE
"23",5.00479170488689e-17,0.162040315961719,TRUE,"Gathering",12,"linear",TRUE
"24",2.98265037119278e-17,0.0422404584102348,TRUE,"Gathering",12,"linear",TRUE
"25",1.91990760378499e-12,0.00213286737229092,TRUE,"Gathering",12,"linear",TRUE
"26",2.68024062584671e-11,0.04444790394624,TRUE,"Gathering",12,"linear",TRUE
"27",3.5975061836921e-11,0.00884700529445141,TRUE,"Gathering",12,"linear",TRUE
"28",5.28558144002336e-15,0.963770108574765,TRUE,"Gathering",12,"linear",TRUE
"29",1.29306045788927e-12,0.0198386473417207,TRUE,"Gathering",12,"linear",TRUE
"30",1.03049909872923e-11,0.8581098487452,TRUE,"Gathering",12,"linear",TRUE
"31",0,0.14802844069615,TRUE,"Gathering",12,"nonlinear",TRUE
"32",0,0.152358935494607,TRUE,"Gathering",12,"nonlinear",TRUE
"33",0,0.204653603870604,TRUE,"Gathering",12,"nonlinear",TRUE
"34",0,0.0419076943117404,TRUE,"Gathering",12,"nonlinear",TRUE
"35",0,0.0776150846633361,TRUE,"Gathering",12,"nonlinear",TRUE
"36",0,0.000991628209920048,TRUE,"Gathering",12,"nonlinear",TRUE
"37",0,0.0175457705879387,TRUE,"Gathering",12,"nonlinear",TRUE
"38",0,0.0879423634018372,TRUE,"Gathering",12,"nonlinear",TRUE
"39",0,0.144625682415325,TRUE,"Gathering",12,"nonlinear",TRUE
"40",0,0.0116054008978542,TRUE,"Gathering",12,"nonlinear",TRUE
"41",5.29708419941688e-06,0.00845615170485233,TRUE,"Hunting",11,"linear",TRUE
"42",0.000312468811749262,0.013342620773193,TRUE,"Hunting",11,"linear",TRUE
"43",9.94400390125876e-05,0.179190810474554,TRUE,"Hunting",11,"linear",TRUE
"44",0.00987494641567107,0.00668347108479383,TRUE,"Hunting",11,"linear",TRUE
"45",0.00219795714639946,0.117534913628683,TRUE,"Hunting",11,"linear",TRUE
"46",0.0350870950659059,0.136673768036264,TRUE,"Hunting",11,"linear",TRUE
"47",0.00237684280240075,0.567607864568803,TRUE,"Hunting",11,"linear",TRUE
"48",0.000268601889705203,0.036514898327885,TRUE,"Hunting",11,"linear",TRUE
