"","x","y","has_preview_condition","reread_consecutive_condition"
"1",0.00584266065726236,0.0499463065347618,"Gathering",11
"2",0.0165365374675006,0.0510115470915061,"Gathering",11
"3",0.0272304142777386,0.0520713485140309,"Gathering",11
"4",0.0379242910879769,0.0531249204067094,"Gathering",11
"5",0.0486181678982152,0.0541714962512212,"Gathering",11
"6",0.0593120447084534,0.0552103352892659,"Gathering",11
"7",0.0700059215186917,0.0562407243134034,"Gathering",11
"8",0.0806997983289299,0.0572619793607301,"Gathering",11
"9",0.0913936751391682,0.0582734473042995,"Gathering",11
"10",0.102087551949406,0.0592734362864088,"Gathering",11
"11",0.112781428759645,0.0602616883087084,"Gathering",11
"12",0.123475305569883,0.061238227836271,"Gathering",11
"13",0.134169182380121,0.0622025630028183,"Gathering",11
"14",0.144863059190359,0.0631542396553112,"Gathering",11
"15",0.155556936000598,0.0640928419892371,"Gathering",11
"16",0.166250812810836,0.0650179930505743,"Gathering",11
"17",0.176944689621074,0.0659293551038105,"Gathering",11
"18",0.187638566431312,0.0668266298656756,"Gathering",11
"19",0.198332443241551,0.0677075352804953,"Gathering",11
"20",0.209026320051789,0.0685736694195813,"Gathering",11
"21",0.219720196862027,0.069425027691368,"Gathering",11
"22",0.230414073672265,0.0702614930037867,"Gathering",11
"23",0.241107950482504,0.0710829859748478,"Gathering",11
"24",0.251801827292742,0.0718894641690832,"Gathering",11
"25",0.26249570410298,0.0726809212215863,"Gathering",11
"26",0.273189580913218,0.0734573858537878,"Gathering",11
"27",0.283883457723456,0.0742184493120745,"Gathering",11
"28",0.294577334533695,0.0749629754873251,"Gathering",11
"29",0.305271211343933,0.0756928572744623,"Gathering",11
"30",0.315965088154171,0.0764082688838841,"Gathering",11
"31",0.326658964964409,0.0771094114683223,"Gathering",11
"32",0.337352841774648,0.0777965114978922,"Gathering",11
"33",0.348046718584886,0.0784698190847396,"Gathering",11
"34",0.358740595395124,0.079129606263658,"Gathering",11
"35",0.369434472205362,0.0797761652350818,"Gathering",11
"36",0.3801283490156,0.0804088793083202,"Gathering",11
"37",0.390822225825839,0.081028160111664,"Gathering",11
"38",0.401516102636077,0.0816353199287798,"Gathering",11
"39",0.412209979446315,0.0822307189325751,"Gathering",11
"40",0.422903856256553,0.0828147264190559,"Gathering",11
"41",0.433597733066792,0.0833877190162826,"Gathering",11
"42",0.44429160987703,0.083950078920405,"Gathering",11
"43",0.454985486687268,0.084502192164156,"Gathering",11
"44",0.465679363497506,0.085044446923056,"Gathering",11
"45",0.476373240307745,0.0855761874324969,"Gathering",11
"46",0.487067117117983,0.08609867446566,"Gathering",11
"47",0.497760993928221,0.08661259444747,"Gathering",11
"48",0.508454870738459,0.0871183233071447,"Gathering",11
"49",0.519148747548698,0.0876162301176826,"Gathering",11
"50",0.529842624358936,0.0881066758748807,"Gathering",11
"51",0.540536501169174,0.0885900123528658,"Gathering",11
"52",0.551230377979412,0.0890665810381285,"Gathering",11
"53",0.561924254789651,0.0895366517668573,"Gathering",11
"54",0.572618131599889,0.0899998161792969,"Gathering",11
"55",0.583312008410127,0.0904572644406542,"Gathering",11
"56",0.594005885220365,0.0909092784059793,"Gathering",11
"57",0.604699762030603,0.0913561251016604,"Gathering",11
"58",0.615393638840842,0.0917980563094512,"Gathering",11
"59",0.62608751565108,0.0922353082316021,"Gathering",11
