,has_preview_condition,reread_consecutive_condition,linear,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,Gathering,11,linear,1.164512804205661e-05,0.6062922865469762,***,(.),180,90,180,125,30,30
1,Gathering,11,nonlinear,1.2722265898101881e-06,0.1409826603937759,***,(.),260,90,260,125,30,30
2,Gathering,12,linear,1.4774643345692116e-10,0.2112551758521651,***,(.),180,550,180,585,30,30
3,Gathering,12,nonlinear,0.0,0.08872746045493127,***,(.),260,550,260,585,30,30
4,Hunting,11,linear,0.005242265627604859,0.10804741485236861,**,(.),670,90,670,125,30,30
5,Hunting,11,nonlinear,0.001614109283999806,0.06582970097113858,**,(.),750,90,750,125,30,30
6,Hunting,12,linear,0.008183219742621917,0.4563186726428012,**,(.),670,550,670,585,30,30
7,Hunting,12,nonlinear,0.003047045063012249,0.5890325663575372,**,(.),750,550,750,585,30,30
