"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_consecutive_condition","linear","additive_model"
"63",0.00038992506791557,0.000145272273066801,TRUE,"Hunting",12,"linear",TRUE
"64",0.036277778249993,0.00148545077405333,TRUE,"Hunting",12,"linear",TRUE
"65",3.03539552167996e-05,0.00171286460918393,TRUE,"Hunting",12,"linear",TRUE
"66",5.56522866581366e-06,0.000913350374139653,TRUE,"Hunting",12,"linear",TRUE
"67",0.000364701211684727,0.00128027709323311,TRUE,"Hunting",12,"linear",TRUE
"68",7.14155198985003e-05,0.00331516403757638,TRUE,"Hunting",12,"linear",TRUE
"69",5.58464405877646e-06,0.0395193704309641,TRUE,"Hunting",12,"linear",TRUE
"70",1.20633567681607e-06,0.00660213459118151,TRUE,"Hunting",12,"linear",TRUE
"71",0.00531055857824603,0.0347571153296873,TRUE,"Hunting",12,"nonlinear",TRUE
"72",0.00164699718303912,5.22397023804411e-05,TRUE,"Hunting",12,"nonlinear",TRUE
"73",0.000318685978431044,0.169446463359766,TRUE,"Hunting",12,"nonlinear",TRUE
"74",0.00029659317044356,0.000999217165210675,TRUE,"Hunting",12,"nonlinear",TRUE
"75",0.000613621207982473,0.000802735290319656,TRUE,"Hunting",12,"nonlinear",TRUE
"76",7.43182283662325e-05,0.000766181940375976,TRUE,"Hunting",12,"nonlinear",TRUE
"77",1.07380781139144e-06,0.295040700305678,TRUE,"Hunting",12,"nonlinear",TRUE
"78",0.00108012572948074,0.0626798725335903,TRUE,"Hunting",12,"nonlinear",TRUE
"79",0.00454609473318862,0.0451986920801446,TRUE,"Hunting",12,"nonlinear",TRUE
"80",8.12443063892276e-05,0.0978542380054923,TRUE,"Hunting",12,"nonlinear",TRUE
