"","x","y","has_preview_condition","reread_consecutive_condition"
"1",0.0107309196093106,0.0484925387363426,"Gathering",11
"2",0.0215011399860734,0.0494634427421025,"Gathering",11
"3",0.032271360362836,0.0504303286773692,"Gathering",11
"4",0.0430415807395987,0.0513917756153384,"Gathering",11
"5",0.0538118011163613,0.0523478184624666,"Gathering",11
"6",0.0645820214931239,0.0532978959147872,"Gathering",11
"7",0.0753522418698866,0.0542414664942088,"Gathering",11
"8",0.0861224622466492,0.0551780095643768,"Gathering",11
"9",0.0968926826234118,0.0561070262819348,"Gathering",11
"10",0.107662903000175,0.0570280404812334,"Gathering",11
"11",0.118433123376937,0.0579405994905914,"Gathering",11
"12",0.1292033437537,0.0588430681011301,"Gathering",11
"13",0.139973564130462,0.0597358240610513,"Gathering",11
"14",0.150743784507225,0.0606187946396088,"Gathering",11
"15",0.161514004883988,0.0614916468581896,"Gathering",11
"16",0.17228422526075,0.0623540744014308,"Gathering",11
"17",0.183054445637513,0.0632057978119072,"Gathering",11
"18",0.193824666014276,0.0640465646069629,"Gathering",11
"19",0.204594886391038,0.0648761493179704,"Gathering",11
"20",0.215365106767801,0.0656933113453798,"Gathering",11
"21",0.226135327144564,0.066498066979924,"Gathering",11
"22",0.236905547521326,0.0672910917132834,"Gathering",11
"23",0.247675767898089,0.0680722847850024,"Gathering",11
"24",0.258445988274852,0.0688415707802242,"Gathering",11
"25",0.269216208651614,0.0695988990790744,"Gathering",11
"26",0.279986429028377,0.0703442432443246,"Gathering",11
"27",0.290756649405139,0.0710776003495784,"Gathering",11
"28",0.301526869781902,0.0717983760134667,"Gathering",11
"29",0.312297090158665,0.0725059507059221,"Gathering",11
"30",0.323067310535427,0.0732017016922411,"Gathering",11
"31",0.33383753091219,0.0738857248727425,"Gathering",11
"32",0.344607751288953,0.0745581342034386,"Gathering",11
"33",0.355377971665715,0.0752190606622237,"Gathering",11
"34",0.366148192042478,0.0758686511887972,"Gathering",11
"35",0.376918412419241,0.0765070676014576,"Gathering",11
"36",0.387688632796003,0.0771343426492779,"Gathering",11
"37",0.398458853172766,0.0777492666025401,"Gathering",11
"38",0.409229073549529,0.0783536626284669,"Gathering",11
"39",0.419999293926291,0.0789477463733046,"Gathering",11
"40",0.430769514303054,0.0795317413213752,"Gathering",11
"41",0.441539734679816,0.0801058776698596,"Gathering",11
"42",0.452309955056579,0.0806703912164315,"Gathering",11
"43",0.463080175433342,0.0812255222624289,"Gathering",11
"44",0.473850395810104,0.0817715145342204,"Gathering",11
"45",0.484620616186867,0.0823074568166539,"Gathering",11
"46",0.49539083656363,0.0828346261945739,"Gathering",11
"47",0.506161056940392,0.0833534910926236,"Gathering",11
"48",0.516931277317155,0.0838642963973995,"Gathering",11
"49",0.527701497693918,0.0843672844147756,"Gathering",11
"50",0.53847171807068,0.0848626940509922,"Gathering",11
"51",0.549241938447443,0.0853507600351976,"Gathering",11
"52",0.560012158824206,0.0858317121846565,"Gathering",11
"53",0.570782379200968,0.0863051343369175,"Gathering",11
"54",0.581552599577731,0.0867715291877007,"Gathering",11
"55",0.592322819954493,0.0872315374250198,"Gathering",11
"56",0.603093040331256,0.0876853567520795,"Gathering",11
"57",0.613863260708019,0.0881331765603911,"Gathering",11
"58",0.624633481084781,0.0885751775784854,"Gathering",11
"59",0.635403701461544,0.08901153156774,"Gathering",11
"60",0.646173921838307,0.0894424010649191,"Gathering",11
"61",0.656944142215069,0.0898676372190957,"Gathering",11
"62",0.667714362591832,0.0902871947295091,"Gathering",11
"63",0.678484582968595,0.0907017416745127,"Gathering",11
"64",0.689254803345357,0.0911113951735529,"Gathering",11
"65",0.70002502372212,0.0915162626391598,"Gathering",11
"66",0.710795244098883,0.0919164418647324,"Gathering",11
"67",0.721565464475645,0.0923120211471807,"Gathering",11
"68",0.732335684852408,0.0927030794429568,"Gathering",11
"69",0.74310590522917,0.0930895978204574,"Gathering",11
"70",0.753876125605933,0.0934711229469341,"Gathering",11
"71",0.764646345982696,0.0938483242541993,"Gathering",11
"72",0.775416566359458,0.0942212401043397,"Gathering",11
