"","m","upper","lower","ttest_pval","has_preview_condition","reread_consecutive_condition","linear","new_p_val","n_sim"
"1",0.000183738675494937,0.000400721762374639,-3.32444113847652e-05,0,"Gathering",11,"linear",0.09945,20000
"2",0.000190648847638101,0.000427729009889885,-4.64313146136833e-05,0,"Gathering",11,"nonlinear",0.09945,20000
"3",0.000371992028450947,0.00070077407690227,4.32099799996249e-05,0,"Gathering",12,"linear",0.02665,20000
"4",0.000476829770213786,0.000810889960402351,0.000142769580025221,0,"Gathering",12,"nonlinear",0.02665,20000
"5",0.00026970543727542,0.00055663874421569,-1.72278696648492e-05,1,"Hunting",11,"linear",0.0645,20000
"6",0.000216292343719354,0.000521981272170326,-8.9396584731618e-05,0,"Hunting",11,"nonlinear",0.0645,20000
"7",0.000427852448538215,0.000794885943959643,6.08189531167858e-05,0,"Hunting",12,"linear",0.0239,20000
"8",0.000603490870191035,0.00102141542422327,0.000185566316158801,0,"Hunting",12,"nonlinear",0.0239,20000
