"","has_preview_condition","reread_consecutive_condition","linear","p_val"
"1","Gathering",11,"nonlinear",0.299
"2","Gathering",12,"nonlinear",0.905
"3","Hunting",11,"nonlinear",0.907
"4","Hunting",12,"nonlinear",0.077
