"","m","upper","lower","norm_upper","norm_lower","w_norm_CI","w_new_CI","has_preview_condition","reread_consecutive_condition","linear","new_p_val","n_sim"
"1",0.000882151166881717,0.00127653804143078,0.00046549644910802,0.00128822785818171,0.000476074475581719,0.000812153382599994,0.000811041592322761,"Gathering",11,"linear",0.001,1000
"2",0.0006291877248499,0.00104687170515246,0.000237661111678323,0.00102795839634193,0.000230417053357866,0.000797541342984069,0.000809210593474133,"Gathering",11,"nonlinear",0.004,1000
"3",0.00192500386880052,0.0024727140697849,0.00137594648037279,0.00245701488845334,0.0013929928491477,0.00106402203930564,0.00109676758941211,"Gathering",12,"linear",0.001,1000
"4",0.00189175335770281,0.00243093022417455,0.00130111178882046,0.00243449990939255,0.00134900680601307,0.00108549310337948,0.00112981843535409,"Gathering",12,"nonlinear",0.001,1000
"5",0.000282435256440342,0.000667075777500044,-0.000108699585393915,0.000665413814957505,-0.00010054330207682,0.000765957117034325,0.000775775362893959,"Hunting",11,"linear",0.137,1000
"6",0.00021042902185127,0.000606346016544247,-0.000189811996482906,0.000618298695393457,-0.000197440651690916,0.000815739347084373,0.000796158013027153,"Hunting",11,"nonlinear",0.303,1000
"7",0.00057164138710389,0.000938675420820386,0.000215731681148557,0.000925488598798581,0.000217794175409199,0.000707694423389382,0.000722943739671829,"Hunting",12,"linear",0.003,1000
"8",0.000535953828290153,0.000912154699260425,0.000156245314045823,0.000902914959506475,0.00016899269707383,0.000733922262432645,0.000755909385214603,"Hunting",12,"nonlinear",0.006,1000
