"","has_preview_condition","reread_consecutive_condition","linear","p_val"
"1","Gathering",11,"nonlinear",0.61
"2","Gathering",12,"nonlinear",0.713
"3","Hunting",11,"nonlinear",0.759
"4","Hunting",12,"nonlinear",0.959
