"","has_preview_condition","reread_consecutive_condition","linear","p_val"
"1","Gathering",11,"nonlinear",0.836
"2","Gathering",12,"nonlinear",0.967
"3","Hunting",11,"nonlinear",0.723
"4","Hunting",12,"nonlinear",0.701
