,critical_span_condition,reread_condition,linear,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,0,0,linear,9.281837482292526e-30,3.443161360077885e-15,***,***,180,90,180,125,30,30
1,0,0,nonlinear,0.0,0.0,***,***,260,90,260,125,30,30
2,0,1,linear,0.0824606627776892,0.32259468144511905,(.),(.),180,550,180,585,30,30
3,0,1,nonlinear,0.02368128744035588,0.22269438382612305,*,(.),260,550,260,585,30,30
4,1,0,linear,5.554946150479121e-14,4.6260462511035406e-05,***,***,670,90,670,125,30,30
5,1,0,nonlinear,0.0,2.3557859898012037e-06,***,***,750,90,750,125,30,30
6,1,1,linear,0.024419746003859696,0.3738946596754495,*,(.),670,550,670,585,30,30
7,1,1,nonlinear,0.032413092689928244,0.05654127527185334,*,(.),750,550,750,585,30,30
