,critical_span_condition,reread_condition,linear,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,0,0,linear,2.9129804223210077e-76,8.686791503559637e-21,***,***,180,90,180,125,30,30
1,0,0,nonlinear,0.0,0.0,***,***,260,90,260,125,30,30
2,0,1,linear,0.0035284267606931624,0.21122526537500202,**,(.),180,550,180,585,30,30
3,0,1,nonlinear,0.020713497757180076,0.1747919138012534,*,(.),260,550,260,585,30,30
4,1,0,linear,1.75825959774985e-29,2.9643397646552316e-08,***,***,670,90,670,125,30,30
5,1,0,nonlinear,0.0,7.60507871788718e-08,***,***,750,90,750,125,30,30
6,1,1,linear,0.013544556581760726,0.4852219928330449,*,(.),670,550,670,585,30,30
7,1,1,nonlinear,0.006406949866211218,0.21799650512805097,**,(.),750,550,750,585,30,30
