"","x","y","critical_span_condition","reread_condition"
"1",0.00947114238055524,0.0742818538101773,0,0
"2",0.0303160752689055,0.0786058525584563,0,0
"3",0.0511610081572557,0.0827514959386365,0,0
"4",0.0720059410456059,0.0866842504553764,0,0
"5",0.0928508739339562,0.0903746080220928,0,0
"6",0.113695806822306,0.0937987898500341,0,0
"7",0.134540739710657,0.0969392544954846,0,0
"8",0.155385672599007,0.0997620491930927,0,0
"9",0.176230605487357,0.102281678695487,0,0
"10",0.197075538375707,0.104506916925597,0,0
"11",0.217920471264057,0.106447607439975,0,0
"12",0.238765404152408,0.108118746203716,0,0
"13",0.259610337040758,0.109539720102984,0,0
"14",0.280455269929108,0.110733455029169,0,0
"15",0.301300202817458,0.111725509728873,0,0
"16",0.322145135705809,0.112543151226508,0,0
"17",0.342990068594159,0.113214445854385,0,0
"18",0.363835001482509,0.113767396943001,0,0
"19",0.384679934370859,0.114229156235239,0,0
"20",0.405524867259209,0.114625100881933,0,0
"21",0.42636980014756,0.114977667362652,0,0
"22",0.44721473303591,0.115312482667119,0,0
"23",0.46805966592426,0.115646487396164,0,0
"24",0.488904598812611,0.115993527706885,0,0
"25",0.509749531700961,0.116364360291121,0,0
"26",0.530594464589311,0.116766757830949,0,0
"27",0.551439397477661,0.117205699772468,0,0
"28",0.572284330366011,0.117683631822365,0,0
"29",0.593129263254362,0.118200776859263,0,0
"30",0.613974196142712,0.118755479917544,0,0
"31",0.634819129031062,0.119344570486408,0,0
"32",0.655664061919412,0.119963726501432,0,0
"33",0.676508994807762,0.120608338031959,0,0
"34",0.697353927696113,0.121272751591941,0,0
"35",0.718198860584463,0.121949604145623,0,0
"36",0.739043793472813,0.122633319325223,0,0
"37",0.759888726361163,0.123318660105515,0,0
"38",0.780733659249513,0.124000853861232,0,0
"39",0.801578592137864,0.124675673606839,0,0
"40",0.822423525026214,0.125339479422629,0,0
"41",0.843268457914564,0.125989225212144,0,0
"42",0.864113390802914,0.126622436724238,0,0
"43",0.884958323691265,0.127237167213011,0,0
"44",0.905803256579615,0.127831937215673,0,0
"45",0.926648189467965,0.128405664727114,0,0
"46",0.947493122356315,0.128956489172397,0,0
"47",0.968338055244666,0.12948398680746,0,0
"48",0.989182988133016,0.129988826955053,0,0
"49",1.01002792102137,0.130470833300789,0,0
"50",1.03087285390972,0.130929895874556,0,0
"51",1.05171778679807,0.131365943224825,0,0
"52",1.07256271968642,0.131778924938173,0,0
"53",1.09340765257477,0.13216880310428,0,0
"54",1.11425258546312,0.132535550931698,0,0
"55",1.13509751835147,0.132879156492934,0,0
"56",1.15594245123982,0.133199629513556,0,0
"57",1.17678738412817,0.133497009208448,0,0
"58",1.19763231701652,0.133771371392963,0,0
"59",1.21847724990487,0.134021219625258,0,0
"60",1.23932218279322,0.134247871935694,0,0
"61",1.26016711568157,0.134452040428364,0,0
"62",1.28101204856992,0.134633969650766,0,0
"63",1.30185698145827,0.134793926331586,0,0
"64",1.32270191434662,0.134932189616869,0,0
"65",1.34354684723497,0.135049042170026,0,0
"66",1.36439178012332,0.135144763612363,0,0
"67",1.38523671301167,0.135219627664982,0,0
"68",1.40608164590002,0.135273904111406,0,0
"69",1.42692657878837,0.135307866344731,0,0
"70",1.44777151167672,0.135321804810876,0,0
"71",1.46861644456507,0.135316046133769,0,0
"72",1.48946137745342,0.135289240283459,0,0
"73",1.51030631034177,0.135243730162694,0,0
"74",1.53115124323012,0.135180160801768,0,0
"75",1.55199617611847,0.135099331579587,0,0
"76",1.57284110900682,0.13500221528515,0,0
"77",1.59368604189517,0.134889968089724,0,0
"78",1.61453097478352,0.134763928920407,0,0
"79",1.63537590767187,0.134625606794319,0,0
"80",1.65622084056022,0.13447665540735,0,0
"81",1.67706577344857,0.134318835110777,0,0
"82",1.69791070633692,0.134153963306545,0,0
"83",1.71875563922527,0.133983855195597,0,0
"84",1.73960057211362,0.133810220433785,0,0
"85",1.76044550500197,0.133634751558225,0,0
"86",1.78129043789032,0.13345900395675,0,0
"87",1.80213537077867,0.133283993749434,0,0
"88",1.82298030366702,0.133110401090632,0,0
"89",1.84382523655537,0.132938544413622,0,0
"90",1.86467016944373,0.132768373288679,0,0
"91",1.88551510233208,0.132599480873141,0,0
"92",1.90636003522043,0.132431135724401,0,0
"93",1.92720496810878,0.132262331536537,0,0
"94",1.94804990099713,0.132091852220339,0,0
"95",1.96889483388548,0.131918348743214,0,0
"96",1.98973976677383,0.131740423342774,0,0
"97",2.01058469966218,0.131556404413614,0,0
"98",2.03142963255053,0.131364867326837,0,0
"99",2.05227456543888,0.131165151340487,0,0
"100",2.07311949832723,0.130956588043575,0,0
"101",2.09396443121558,0.130738822775745,0,0
"102",2.11480936410393,0.130511828424396,0,0
"103",2.13565429699228,0.130275900126459,0,0
"104",2.15649922988063,0.130031632295275,0,0
"105",2.17734416276898,0.129779880451783,0,0
"106",2.19818909565733,0.129521711201707,0,0
"107",2.21903402854568,0.129258344322632,0,0
"108",2.23987896143403,0.128991091275767,0,0
"109",2.26072389432238,0.128721294519441,0,0
"110",2.28156882721073,0.128450285570589,0,0
"111",2.30241376009908,0.128179493802095,0,0
"112",2.32325869298743,0.127910045048938,0,0
"113",2.34410362587578,0.127642903364807,0,0
"114",2.36494855876413,0.127378903066525,0,0
"115",2.38579349165248,0.127118760948574,0,0
"116",2.40663842454083,0.126863097739398,0,0
"117",2.42748335742918,0.126612465898956,0,0
"118",2.44832829031753,0.126367380515172,0,0
"119",2.46917322320588,0.126128349945596,0,0
"120",2.49001815609423,0.125895902965178,0,0
