,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,critical_span_condition,reread_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,3.8658519168413e-90,9.99406459250902e-25,True,0,0,linear,True,3.8658519168413e-89,9.994064592509021e-24
1,2,7.90693085250651e-102,1.83417239647074e-21,True,0,0,linear,True,7.90693085250651e-101,1.83417239647074e-20
2,3,7.45367489499633e-86,3.92142348046942e-23,True,0,0,linear,True,7.45367489499633e-85,3.92142348046942e-22
3,4,1.92539197401098e-86,7.05857184061753e-30,True,0,0,linear,True,1.92539197401098e-85,7.05857184061753e-29
4,5,1.72388586870187e-100,2.57731895456163e-23,True,0,0,linear,True,1.72388586870187e-99,2.57731895456163e-22
5,6,5.97517907087225e-91,1.60686500621619e-20,True,0,0,linear,True,5.9751790708722505e-90,1.60686500621619e-19
6,7,4.0954570085991295e-79,3.6765334617182804e-31,True,0,0,linear,True,4.0954570085991295e-78,3.67653346171828e-30
7,8,2.91255995126039e-75,7.33217511435558e-21,True,0,0,linear,True,2.91255995126039e-74,7.33217511435558e-20
8,9,3.73749162085331e-89,7.11407283618544e-23,True,0,0,linear,True,3.73749162085331e-88,7.11407283618544e-22
9,10,1.09252659251898e-80,6.14957898960105e-20,True,0,0,linear,True,1.09252659251898e-79,6.14957898960105e-19
10,11,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
11,12,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
12,13,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
13,14,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
14,15,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
15,16,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
16,17,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
17,18,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
18,19,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
19,20,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
20,21,0.0001252592527504,0.0423932575033683,True,0,1,linear,True,0.001252592527504,0.42393257503368303
21,22,7.34605921684632e-07,0.022064300171732,True,0,1,linear,True,7.34605921684632e-06,0.22064300171732
22,23,0.008787428558006,0.0381507067902329,True,0,1,linear,True,0.08787428558006001,0.381507067902329
23,24,1.51651444354979e-05,0.782554501051234,True,0,1,linear,True,0.00015165144435497902,1.0
24,25,0.008874606709876,0.428123285291548,True,0,1,linear,True,0.08874606709876,1.0
25,26,0.0003387329618732,0.245192533020987,True,0,1,linear,True,0.0033873296187320002,1.0
26,27,4.67280280678404e-05,0.0275944519383573,True,0,1,linear,True,0.000467280280678404,0.275944519383573
27,28,0.0161640453188166,0.0149413502023263,True,0,1,linear,True,0.161640453188166,0.149413502023263
28,29,0.0007159914764399,0.0580777081831041,True,0,1,linear,True,0.0071599147643990006,0.580777081831041
29,30,0.0002155755507445,0.45316055959713,True,0,1,linear,True,0.0021557555074449997,1.0
30,31,0.000332006506849,0.136309858354812,True,0,1,nonlinear,True,0.0033200650684899998,1.0
31,32,0.0032726378872215,0.0830510754108699,True,0,1,nonlinear,True,0.032726378872215,0.8305107541086989
32,33,1.56678078541139e-05,0.32968897528478,True,0,1,nonlinear,True,0.000156678078541139,1.0
33,34,0.081999500620955,0.154044582515782,True,0,1,nonlinear,True,0.81999500620955,1.0
34,35,0.0748442785960942,0.0942571258757551,True,0,1,nonlinear,True,0.748442785960942,0.942571258757551
35,36,0.0001228741110305,0.0426027019922341,True,0,1,nonlinear,True,0.0012287411103050002,0.426027019922341
36,37,0.0194209612888922,0.318121856501657,True,0,1,nonlinear,True,0.194209612888922,1.0
37,38,0.0268626966819736,0.0737080861576968,True,0,1,nonlinear,True,0.268626966819736,0.7370808615769681
38,39,0.0002468125806661,0.199569666403507,True,0,1,nonlinear,True,0.002468125806661,1.0
39,40,1.7541490264561e-05,0.31656520951544,True,0,1,nonlinear,True,0.00017541490264561002,1.0
40,41,5.02373234223842e-45,1.53218435373196e-08,True,1,0,linear,True,5.02373234223842e-44,1.5321843537319603e-07
41,42,7.27490930971999e-33,1.93467949470928e-08,True,1,0,linear,True,7.27490930971999e-32,1.93467949470928e-07
42,43,3.9485901916060903e-44,2.7991869714914204e-09,True,1,0,linear,True,3.94859019160609e-43,2.7991869714914202e-08
