,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,critical_span_condition,reread_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,2.2437027542312498e-123,3.18828639009158e-23,True,0,0,linear,True,2.24370275423125e-122,3.18828639009158e-22
1,2,1.3580709019469e-106,1.9628615901423899e-22,True,0,0,linear,True,1.3580709019469e-105,1.96286159014239e-21
2,3,9.08998940458955e-100,1.8313851047413302e-19,True,0,0,linear,True,9.089989404589549e-99,1.83138510474133e-18
3,4,1.86724456176346e-100,2.13546520721858e-21,True,0,0,linear,True,1.86724456176346e-99,2.1354652072185797e-20
4,5,7.1206338645856895e-81,8.321497859139e-22,True,0,0,linear,True,7.12063386458569e-80,8.321497859139e-21
5,6,8.61800506983654e-104,6.84526599970375e-26,True,0,0,linear,True,8.61800506983654e-103,6.8452659997037495e-25
6,7,1.2527948213507e-90,3.62155278916337e-26,True,0,0,linear,True,1.2527948213507001e-89,3.6215527891633696e-25
7,8,1.18653853303872e-107,5.19241610288456e-18,True,0,0,linear,True,1.1865385330387199e-106,5.19241610288456e-17
8,9,9.79788149707111e-93,7.386415571128571e-23,True,0,0,linear,True,9.797881497071109e-92,7.386415571128571e-22
9,10,7.91344509909573e-111,6.24736903574401e-26,True,0,0,linear,True,7.91344509909573e-110,6.24736903574401e-25
10,11,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
11,12,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
12,13,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
13,14,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
14,15,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
15,16,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
16,17,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
17,18,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
18,19,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
19,20,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
20,21,2.17870515904292e-06,0.194487371507387,True,0,1,linear,True,2.17870515904292e-05,1.0
21,22,0.0008304153330685,0.07533548314976,True,0,1,linear,True,0.008304153330685,0.7533548314976001
22,23,0.0071177468255964,0.429447621303114,True,0,1,linear,True,0.071177468255964,1.0
23,24,0.015996078584431,0.349223999605839,True,0,1,linear,True,0.15996078584431,1.0
24,25,0.0002653190790171,0.049167475402645,True,0,1,linear,True,0.0026531907901710004,0.49167475402645
25,26,7.77433130453621e-06,0.277090970796335,True,0,1,linear,True,7.77433130453621e-05,1.0
26,27,0.0030693511334903,0.129144520811729,True,0,1,linear,True,0.030693511334903,1.0
27,28,0.0048964418263163,0.339510016292033,True,0,1,linear,True,0.048964418263163,1.0
28,29,0.0430005980676377,0.0216254497047933,True,0,1,linear,True,0.430005980676377,0.216254497047933
29,30,0.0022105054298366,0.0658660704617676,True,0,1,linear,True,0.022105054298366,0.658660704617676
30,31,0.0001942974112502,0.0245261232061631,True,0,1,nonlinear,True,0.001942974112502,0.245261232061631
31,32,0.0245128504930234,0.0169329827086036,True,0,1,nonlinear,True,0.245128504930234,0.169329827086036
32,33,1.21462799307359e-05,0.313604035123258,True,0,1,nonlinear,True,0.000121462799307359,1.0
33,34,0.0133246269915745,0.456475838622622,True,0,1,nonlinear,True,0.133246269915745,1.0
34,35,0.0029674655949499,0.110815511268141,True,0,1,nonlinear,True,0.029674655949499,1.0
35,36,0.0023164637351126,0.059611676436728,True,0,1,nonlinear,True,0.023164637351126,0.59611676436728
36,37,0.0092035799733743,0.0121919173094393,True,0,1,nonlinear,True,0.092035799733743,0.12191917309439301
37,38,0.0035672254458247,0.138645867612716,True,0,1,nonlinear,True,0.035672254458246996,1.0
38,39,0.0003609268323303,0.348861700289985,True,0,1,nonlinear,True,0.0036092683233030004,1.0
39,40,0.0042111645261161,0.0986925654244986,True,0,1,nonlinear,True,0.042111645261161,0.986925654244986
40,41,1.0708050001938501e-31,3.8329086782141695e-11,True,1,0,linear,True,1.0708050001938501e-30,3.8329086782141697e-10
41,42,4.93036801378575e-35,1.93350741889862e-08,True,1,0,linear,True,4.930368013785751e-34,1.93350741889862e-07
