,critical_span_condition,reread_condition,linear,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,0,0,linear,2.432633183690879e-49,8.693270835911637e-11,***,***,180,90,180,125,30,30
1,0,0,nonlinear,0.0,0.0,***,***,260,90,260,125,30,30
2,0,1,linear,0.027090583222175467,0.4360313357849699,*,(.),180,550,180,585,30,30
3,0,1,nonlinear,0.026073294342047477,0.16982523453169363,*,(.),260,550,260,585,30,30
4,1,0,linear,1.369860133939058e-18,2.5269886137339394e-05,***,***,670,90,670,125,30,30
5,1,0,nonlinear,0.0,1.2396408920762538e-05,***,***,750,90,750,125,30,30
6,1,1,linear,0.0327016879801016,0.4768550033938862,*,(.),670,550,670,585,30,30
7,1,1,nonlinear,0.00403919065904123,0.23510602604748612,**,(.),750,550,750,585,30,30
