,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,critical_span_condition,reread_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,1.23176091598883e-75,4.3961064602527e-24,True,0,0,linear,True,1.23176091598883e-74,4.3961064602527e-23
1,2,8.84380956825113e-89,2.37503988808678e-23,True,0,0,linear,True,8.84380956825113e-88,2.37503988808678e-22
2,3,6.11027416073002e-88,1.6037522538109999e-24,True,0,0,linear,True,6.11027416073002e-87,1.603752253811e-23
3,4,6.75353574554313e-86,8.883619507300799e-29,True,0,0,linear,True,6.75353574554313e-85,8.8836195073008e-28
4,5,1.43191842285379e-80,5.83828191983502e-18,True,0,0,linear,True,1.43191842285379e-79,5.83828191983502e-17
5,6,7.87077954257035e-84,7.54660457477131e-27,True,0,0,linear,True,7.87077954257035e-83,7.546604574771309e-26
6,7,1.4267045803176798e-82,1.18283019001451e-19,True,0,0,linear,True,1.4267045803176799e-81,1.18283019001451e-18
7,8,1.2130276548518499e-79,1.35222271529011e-24,True,0,0,linear,True,1.21302765485185e-78,1.35222271529011e-23
8,9,4.9330146655490605e-74,4.9049513856784004e-26,True,0,0,linear,True,4.9330146655490605e-73,4.904951385678401e-25
9,10,1.46020039745929e-99,1.06823909415449e-26,True,0,0,linear,True,1.4602003974592899e-98,1.06823909415449e-25
10,11,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
11,12,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
12,13,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
13,14,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
14,15,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
15,16,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
16,17,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
17,18,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
18,19,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
19,20,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
20,21,0.0013503139510008,0.11820441685851,True,0,1,linear,True,0.013503139510007998,1.0
21,22,0.0009215508375964,0.0318145028985531,True,0,1,linear,True,0.009215508375964,0.318145028985531
22,23,3.90889035830983e-06,0.0824535154889036,True,0,1,linear,True,3.90889035830983e-05,0.8245351548890361
23,24,0.0454752106169173,0.438915072982077,True,0,1,linear,True,0.45475210616917294,1.0
24,25,0.0023228967750231,0.0400177219661635,True,0,1,linear,True,0.023228967750231,0.400177219661635
