,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,critical_span_condition,reread_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,3.71232725753062e-68,1.5818468095429498e-22,True,0,0,linear,True,3.71232725753062e-67,1.5818468095429498e-21
1,2,6.01839530510792e-55,4.55568682975217e-20,True,0,0,linear,True,6.01839530510792e-54,4.55568682975217e-19
2,3,7.58240922154587e-64,6.33329381825921e-13,True,0,0,linear,True,7.58240922154587e-63,6.33329381825921e-12
3,4,1.69185547968543e-55,1.76829476799833e-17,True,0,0,linear,True,1.6918554796854298e-54,1.76829476799833e-16
4,5,1.3779260979455001e-59,1.5354230464137601e-21,True,0,0,linear,True,1.3779260979455001e-58,1.5354230464137603e-20
5,6,5.0000129944166e-59,2.21711320244734e-19,True,0,0,linear,True,5.0000129944166e-58,2.2171132024473402e-18
6,7,8.888361279353449e-55,5.710316393105221e-15,True,0,0,linear,True,8.888361279353449e-54,5.710316393105221e-14
7,8,6.913643093548e-53,2.9204265942153203e-15,True,0,0,linear,True,6.913643093548e-52,2.92042659421532e-14
8,9,5.02358571784637e-51,3.638997055254e-16,True,0,0,linear,True,5.02358571784637e-50,3.638997055254e-15
9,10,2.06085144352596e-60,1.3176635835572601e-15,True,0,0,linear,True,2.06085144352596e-59,1.31766358355726e-14
10,11,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
11,12,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
12,13,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
13,14,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
14,15,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
15,16,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
16,17,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
17,18,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
18,19,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
19,20,0.0,0.0,True,0,0,nonlinear,True,0.0,0.0
20,21,0.0120805099719155,0.629105587942095,True,0,1,linear,True,0.12080509971915498,1.0
21,22,0.0545527622400023,0.198102816762666,True,0,1,linear,True,0.545527622400023,1.0
22,23,0.0999899833697149,0.0249376011008053,True,0,1,linear,True,0.999899833697149,0.24937601100805298
23,24,0.0091946073986164,0.07024075028663,True,0,1,linear,True,0.091946073986164,0.7024075028663
24,25,0.016493859885576,0.949921880258916,True,0,1,linear,True,0.16493859885576,1.0
25,26,0.505460686196998,0.003447091426914,True,0,1,linear,True,1.0,0.03447091426914
26,27,0.0010468640190071,0.176917566181764,True,0,1,linear,True,0.010468640190070998,1.0
27,28,0.0022368409437405,0.303764096857404,True,0,1,linear,True,0.022368409437405,1.0
28,29,0.14782605951497,0.574406255130903,True,0,1,linear,True,1.0,1.0
29,30,2.52461642855922e-05,0.471393691444628,True,0,1,linear,True,0.00025246164285592197,1.0
30,31,2.07109436453079e-05,0.192796076246158,True,0,1,nonlinear,True,0.000207109436453079,1.0
31,32,0.0007574327589909,0.0096929916673477,True,0,1,nonlinear,True,0.007574327589909001,0.096929916673477
32,33,0.0191756583415411,0.0072225683398597,True,0,1,nonlinear,True,0.191756583415411,0.072225683398597
33,34,0.0003034814415558,0.139395890828116,True,0,1,nonlinear,True,0.0030348144155579997,1.0
34,35,0.0009760370449326,0.0457574101060243,True,0,1,nonlinear,True,0.009760370449326,0.457574101060243
35,36,0.0023082212998382,0.503063750604112,True,0,1,nonlinear,True,0.023082212998382,1.0
36,37,0.000209442550944,0.104393995642514,True,0,1,nonlinear,True,0.00209442550944,1.0
