"","m","upper","lower","norm_upper","norm_lower","w_norm_CI","w_new_CI","critical_span_condition","reread_condition","linear","new_p_val","n_sim"
"1",0.00232226871589583,0.00253094626796318,0.00213272170126185,0.00252008011138218,0.00212445732040948,0.000395622790972699,0.000398224566701329,0,0,"linear",0.001,1000
"2",0.00236918475382108,0.00258009466305879,0.00215632659977473,0.00257393051500747,0.0021644389926347,0.000409491522372769,0.000423768063284063,0,0,"nonlinear",0.001,1000
"3",0.000535598298821322,0.000829163600427712,0.000231351865851783,0.000843626569809032,0.000227570027833611,0.000616056541975421,0.000597811734575929,0,1,"linear",0.001,1000
"4",0.000533166069293343,0.000888023016978538,0.000218613848112248,0.000863804973210136,0.000202527165376551,0.000661277807833585,0.00066940916886629,0,1,"nonlinear",0.004,1000
"5",0.0018564548798048,0.0020888393152487,0.001598891905247,0.00210884188264033,0.00160406787696926,0.000504774005671067,0.000489947410001701,1,0,"linear",0.001,1000
"6",0.00165348351063779,0.00192276193793072,0.00140587266873638,0.00191166484352158,0.001395302177754,0.000516362665767574,0.000516889269194339,1,0,"nonlinear",0.001,1000
"7",0.000223138554589711,0.000603918661356516,-0.000185988234328854,0.000624355348196322,-0.0001780782390169,0.000802433587213222,0.00078990689568537,1,1,"linear",0.309,1000
"8",-8.15044527553725e-05,0.000330990185743989,-0.000523711703666095,0.000341522376973147,-0.000504531282483892,0.000846053659457039,0.000854701889410084,1,1,"nonlinear",0.689,1000
