,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,critical_span_condition,reread_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
55,56,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
56,57,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
57,58,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
58,59,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
59,60,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
60,61,4.36102731400683e-08,0.001375280764492,True,1,1,linear,True,4.36102731400683e-07,0.013752807644920002
61,62,0.0089318842198577,0.0032150715617166,True,1,1,linear,True,0.08931884219857701,0.032150715617165995
62,63,6.1042217341416e-07,0.0015336184785293,True,1,1,linear,True,6.1042217341416e-06,0.015336184785293
63,64,9.47228606040889e-06,0.0009163477589406,True,1,1,linear,True,9.47228606040889e-05,0.009163477589406
64,65,1.54560089609176e-07,0.0003063277170018,True,1,1,linear,True,1.5456008960917599e-06,0.003063277170018
65,66,0.0001310260332959,0.000215115572002,True,1,1,linear,True,0.001310260332959,0.0021511557200200003
66,67,0.0001696370656436,0.0013185289963844,True,1,1,linear,True,0.001696370656436,0.013185289963843999
67,68,9.7566559209663e-07,0.00107833769489,True,1,1,linear,True,9.7566559209663e-06,0.010783376948900001
68,69,0.0049004457122517,0.0171601645232457,True,1,1,linear,True,0.049004457122517,0.171601645232457
69,70,8.25721168393829e-05,0.0476722635334457,True,1,1,linear,True,0.000825721168393829,0.47672263533445697
70,71,0.0001879873175879,0.0010387712316402,True,1,1,nonlinear,True,0.001879873175879,0.010387712316402
71,72,0.0079153879646992,0.062331992637594,True,1,1,nonlinear,True,0.079153879646992,0.62331992637594
72,73,8.89312856603985e-05,0.0354874488100478,True,1,1,nonlinear,True,0.000889312856603985,0.35487448810047795
73,74,4.68652743529363e-06,0.0003507161545061,True,1,1,nonlinear,True,4.6865274352936304e-05,0.003507161545061
74,75,0.0234696033344553,9.02776264715133e-05,True,1,1,nonlinear,True,0.234696033344553,0.0009027762647151329
75,76,3.83180105256731e-07,0.0003136226556377,True,1,1,nonlinear,True,3.83180105256731e-06,0.003136226556377
76,77,0.0099133209248557,0.0010173354793037,True,1,1,nonlinear,True,0.09913320924855701,0.010173354793037001
77,78,1.8564942949606e-07,0.005453569313452,True,1,1,nonlinear,True,1.8564942949606e-06,0.054535693134519996
78,79,0.000349913627273,0.0392135309305793,True,1,1,nonlinear,True,0.00349913627273,0.392135309305793
79,80,0.0202446653589196,0.0007890294745623,True,1,1,nonlinear,True,0.202446653589196,0.007890294745623
