"","x","y","has_preview_condition","reread_condition"
"1",2.92503865479164e-06,158.749589091778,"Gathering",1
"2",7.05267830916514e-06,163.548834084497,"Gathering",1
"3",1.11803179635387e-05,168.415547051921,"Gathering",1
"4",1.53079576179122e-05,173.356953126827,"Gathering",1
"5",1.94355972722858e-05,178.363247103442,"Gathering",1
"6",2.35632369266593e-05,183.430123024623,"Gathering",1
"7",2.76908765810329e-05,188.555354225994,"Gathering",1
"8",3.18185162354063e-05,193.736624809178,"Gathering",1
"9",3.59461558897799e-05,198.971531680088,"Gathering",1
"10",4.00737955441535e-05,204.25758672105,"Gathering",1
"11",4.4201435198527e-05,209.593805690752,"Gathering",1
"12",4.83290748529005e-05,214.981695004584,"Gathering",1
"13",5.2456714507274e-05,220.411537354137,"Gathering",1
"14",5.65843541616476e-05,225.880473587064,"Gathering",1
"15",6.07119938160211e-05,231.385577379696,"Gathering",1
"16",6.48396334703947e-05,236.923858499509,"Gathering",1
"17",6.89672731247682e-05,242.492266168301,"Gathering",1
"18",7.30949127791417e-05,248.087692523367,"Gathering",1
"19",7.72225524335153e-05,253.708995803398,"Gathering",1
"20",8.13501920878888e-05,259.351276798597,"Gathering",1
"21",8.54778317422623e-05,265.009497477548,"Gathering",1
"22",8.96054713966358e-05,270.680333179835,"Gathering",1
"23",9.37331110510094e-05,276.360427194109,"Gathering",1
"24",9.7860750705383e-05,282.046394878959,"Gathering",1
"25",0.000101988390359757,287.734827828651,"Gathering",1
"26",0.00010611603001413,293.422298080228,"Gathering",1
"27",0.000110243669668504,299.103758927254,"Gathering",1
"28",0.000114371309322877,304.775829421202,"Gathering",1
"29",0.000118498948977251,310.435083922942,"Gathering",1
"30",0.000122626588631624,316.078068992469,"Gathering",1
"31",0.000126754228285998,321.701339708616,"Gathering",1
"32",0.000130881867940371,327.301463965044,"Gathering",1
"33",0.000135009507594745,332.875026746793,"Gathering",1
"34",0.000139137147249118,338.416504207702,"Gathering",1
"35",0.000143264786903492,343.919714575854,"Gathering",1
"36",0.000147392426557865,349.38485326002,"Gathering",1
"37",0.000151520066212239,354.808653233147,"Gathering",1
"38",0.000155647705866612,360.187891358595,"Gathering",1
"39",0.000159775345520986,365.51939223253,"Gathering",1
"40",0.000163902985175359,370.800031951666,"Gathering",1
"41",0.000168030624829733,376.026741803484,"Gathering",1
"42",0.000172158264484107,381.18855925295,"Gathering",1
"43",0.00017628590413848,386.28652848766,"Gathering",1
"44",0.000180413543792854,391.320559316097,"Gathering",1
"45",0.000184541183447227,396.287904002427,"Gathering",1
"46",0.000188668823101601,401.185891317203,"Gathering",1
"47",0.000192796462755974,406.011929328234,"Gathering",1
"48",0.000196924102410348,410.763508075769,"Gathering",1
"49",0.000201051742064721,415.436544642785,"Gathering",1
"50",0.000205179381719095,420.017283652502,"Gathering",1
"51",0.000209307021373468,424.515654320572,"Gathering",1
"52",0.000213434661027842,428.929578626293,"Gathering",1
"53",0.000217562300682215,433.257074414327,"Gathering",1
"54",0.000221689940336589,437.496256925781,"Gathering",1
"55",0.000225817579990963,441.645340197103,"Gathering",1
"56",0.000229945219645336,445.702638326538,"Gathering",1
"57",0.00023407285929971,449.658073210315,"Gathering",1
"58",0.000238200498954083,453.50975898053,"Gathering",1
"59",0.000242328138608457,457.26471847064,"Gathering",1
"60",0.00024645577826283,460.921762730638,"Gathering",1
"61",0.000250583417917204,464.479807216737,"Gathering",1
"62",0.000254711057571577,467.937871866193,"Gathering",1
"63",0.000258838697225951,471.295081046239,"Gathering",1
"64",0.000262966336880324,474.550663378127,"Gathering",1
"65",0.000267093976534698,477.68772625931,"Gathering",1
"66",0.000271221616189071,480.719658155491,"Gathering",1
"67",0.000275349255843445,483.648186396924,"Gathering",1
"68",0.000279476895497818,486.473034294618,"Gathering",1
"69",0.000283604535152192,489.194024699756,"Gathering",1
"70",0.000287732174806566,491.811078795433,"Gathering",1
"71",0.000291859814460939,494.324214787953,"Gathering",1
"72",0.000295987454115313,496.72859860153,"Gathering",1
"73",0.000300115093769686,499.016002782646,"Gathering",1
"74",0.00030424273342406,501.200320680446,"Gathering",1
"75",0.000308370373078433,503.282014399438,"Gathering",1
"76",0.000312498012732807,505.26163187668,"Gathering",1
"77",0.00031662565238718,507.139804806624,"Gathering",1
"78",0.000320753292041554,508.917246499656,"Gathering",1
"79",0.000324880931695927,510.594749676522,"Gathering",1
"80",0.000329008571350301,512.161829671618,"Gathering",1
"81",0.000333136211004674,513.62511770352,"Gathering",1
"82",0.000337263850659048,514.991809347159,"Gathering",1
"83",0.000341391490313422,516.263043176381,"Gathering",1
"84",0.000345519129967795,517.440021227808,"Gathering",1
"85",0.000349646769622169,518.524006382127,"Gathering",1
"86",0.000353774409276542,519.516319717957,"Gathering",1
"87",0.000357902048930916,520.417765152454,"Gathering",1
"88",0.000362029688585289,521.215491932492,"Gathering",1
"89",0.000366157328239663,521.92650920412,"Gathering",1
"90",0.000370284967894036,522.552377380208,"Gathering",1
"91",0.00037441260754841,523.094697308721,"Gathering",1
"92",0.000378540247202783,523.555107527508,"Gathering",1
"93",0.000382667886857157,523.93528152503,"Gathering",1
"94",0.00038679552651153,524.236925008836,"Gathering",1
"95",0.000390923166165904,524.456199810283,"Gathering",1
"96",0.000395050805820278,524.593305975528,"Gathering",1
"97",0.000399178445474651,524.657956057078,"Gathering",1
"98",0.000403306085129025,524.651969133991,"Gathering",1
"99",0.000407433724783398,524.577179170271,"Gathering",1
"100",0.000411561364437772,524.435432478144,"Gathering",1
"101",0.000415689004092145,524.228585215115,"Gathering",1
"102",0.000419816643746519,523.95850091612,"Gathering",1
"103",0.000423944283400892,523.618633005119,"Gathering",1
"104",0.000428071923055266,523.217948222079,"Gathering",1
"105",0.000432199562709639,522.760442118769,"Gathering",1
"106",0.000436327202364013,522.24797641922,"Gathering",1
"107",0.000440454842018386,521.6824053735,"Gathering",1
"108",0.00044458248167276,521.065573696186,"Gathering",1
"109",0.000448710121327133,520.399314557042,"Gathering",1
"110",0.000452837760981507,519.68392882478,"Gathering",1
"111",0.000456965400635881,518.916640574825,"Gathering",1
"112",0.000461093040290254,518.106091880765,"Gathering",1
"113",0.000465220679944628,517.254031391108,"Gathering",1
"114",0.000469348319599001,516.362184715729,"Gathering",1
"115",0.000473475959253375,515.432252936592,"Gathering",1
"116",0.000477603598907748,514.465911179345,"Gathering",1
"117",0.000481731238562122,513.464807246035,"Gathering",1
"118",0.000485858878216495,512.427399654286,"Gathering",1
"119",0.000489986517870869,511.356596184225,"Gathering",1
