"","x","y","has_preview_condition","reread_condition"
"1",3.09943675347313e-06,301.578678824717,"Gathering",1
"2",4.39241342895039e-06,304.340012350767,"Gathering",1
"3",5.68539010442764e-06,307.111967792875,"Gathering",1
"4",6.9783667799049e-06,309.892966511785,"Gathering",1
"5",8.27134345538216e-06,312.680715613173,"Gathering",1
"6",9.56432013085942e-06,315.477199608291,"Gathering",1
"7",1.08572968063367e-05,318.283301397722,"Gathering",1
"8",1.21502734818139e-05,321.095652017164,"Gathering",1
"9",1.34432501572912e-05,323.914997379549,"Gathering",1
"10",1.47362268327685e-05,326.744343376895,"Gathering",1
"11",1.60292035082457e-05,329.57941939787,"Gathering",1
"12",1.7322180183723e-05,332.420181241563,"Gathering",1
"13",1.86151568592002e-05,335.270577029175,"Gathering",1
"14",1.99081335346775e-05,338.126443089179,"Gathering",1
"15",2.12011102101547e-05,340.987457914548,"Gathering",1
"16",2.2494086885632e-05,343.856319764908,"Gathering",1
"17",2.37870635611093e-05,346.730984255624,"Gathering",1
"18",2.50800402365865e-05,349.610245076549,"Gathering",1
"19",2.63730169120638e-05,352.495730486556,"Gathering",1
"20",2.7665993587541e-05,355.387148733617,"Gathering",1
"21",2.89589702630183e-05,358.282596457839,"Gathering",1
"22",3.02519469384955e-05,361.182818746022,"Gathering",1
"23",3.15449236139728e-05,364.088896360265,"Gathering",1
"24",3.28379002894501e-05,366.998423190468,"Gathering",1
"25",3.41308769649273e-05,369.911454374629,"Gathering",1
"26",3.54238536404046e-05,372.830050766008,"Gathering",1
"27",3.67168303158818e-05,375.751503760707,"Gathering",1
"28",3.80098069913591e-05,378.675762970377,"Gathering",1
"29",3.93027836668364e-05,381.604309605386,"Gathering",1
"30",4.05957603423136e-05,384.535494389879,"Gathering",1
"31",4.18887370177909e-05,387.468880320261,"Gathering",1
"32",4.31817136932681e-05,390.405255198369,"Gathering",1
"33",4.44746903687454e-05,393.343939815366,"Gathering",1
"34",4.57676670442226e-05,396.284210567928,"Gathering",1
"35",4.70606437196999e-05,399.226365552951,"Gathering",1
"36",4.83536203951772e-05,402.17028444189,"Gathering",1
"37",4.96465970706544e-05,405.11516569894,"Gathering",1
"38",5.09395737461317e-05,408.061025738085,"Gathering",1
"39",5.22325504216089e-05,411.007883831556,"Gathering",1
"40",5.35255270970862e-05,413.955072985487,"Gathering",1
"41",5.48185037725634e-05,416.902539936621,"Gathering",1
"42",5.61114804480407e-05,419.850016499698,"Gathering",1
"43",5.7404457123518e-05,422.79718688344,"Gathering",1
"44",5.86974337989952e-05,425.74399682817,"Gathering",1
"45",5.99904104744725e-05,428.68989598221,"Gathering",1
"46",6.12833871499497e-05,431.63470118821,"Gathering",1
"47",6.2576363825427e-05,434.578502880569,"Gathering",1
"48",6.38693405009043e-05,437.520683138887,"Gathering",1
"49",6.51623171763815e-05,440.460761413506,"Gathering",1
"50",6.64552938518588e-05,443.399189556327,"Gathering",1
"51",6.7748270527336e-05,446.335498656191,"Gathering",1
"52",6.90412472028133e-05,449.268477356101,"Gathering",1
"53",7.03342238782905e-05,452.19915707338,"Gathering",1
"54",7.16272005537678e-05,455.127435712021,"Gathering",1
"55",7.29201772292451e-05,458.050935808859,"Gathering",1
"56",7.42131539047223e-05,460.971487162107,"Gathering",1
"57",7.55061305801996e-05,463.889035252524,"Gathering",1
"58",7.67991072556768e-05,466.801213383613,"Gathering",1
"59",7.80920839311541e-05,469.709255918173,"Gathering",1
"60",7.93850606066314e-05,472.613646019164,"Gathering",1
"61",8.06780372821086e-05,475.512389404931,"Gathering",1
"62",8.19710139575859e-05,478.405546712104,"Gathering",1
"63",8.32639906330631e-05,481.294404359092,"Gathering",1
"64",8.45569673085404e-05,484.177558835495,"Gathering",1
"65",8.58499439840176e-05,487.053463116208,"Gathering",1
"66",8.71429206594949e-05,489.924423784853,"Gathering",1
"67",8.84358973349722e-05,492.789845193578,"Gathering",1
"68",8.97288740104494e-05,495.646141809323,"Gathering",1
"69",9.10218506859267e-05,498.496855459815,"Gathering",1
"70",9.23148273614039e-05,501.341932739138,"Gathering",1
"71",9.36078040368812e-05,504.176765419909,"Gathering",1
"72",9.49007807123585e-05,507.00490100991,"Gathering",1
"73",9.61937573878357e-05,509.826767576101,"Gathering",1
"74",9.7486734063313e-05,512.638575268221,"Gathering",1
"75",9.87797107387902e-05,515.441825220352,"Gathering",1
"76",0.000100072687414267,518.238180889758,"Gathering",1
"77",0.000101365664089745,521.024883968674,"Gathering",1
