,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,filler_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,regime_plot,corrected_surp_p_val,corrected_prev_surp_p_val
38,39,39,0.0,7.17262817345188e-05,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0007172628173451879
39,40,40,0.0,8.40202845109328e-06,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,8.40202845109328e-05
40,41,41,7.933772972279139e-92,9.58210748563135e-30,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,7.933772972279138e-91,9.582107485631349e-29
41,42,42,1.77967083942898e-90,1.59717340235739e-27,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.77967083942898e-89,1.5971734023573899e-26
42,43,43,2.70662276561454e-101,2.9376532583475497e-26,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,2.70662276561454e-100,2.9376532583475494e-25
43,44,44,1.87112594621356e-94,1.1792974160259e-25,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.87112594621356e-93,1.1792974160259e-24
44,45,45,4.11981678615699e-101,7.16979347451389e-33,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,4.11981678615699e-100,7.16979347451389e-32
45,46,46,3.31201536121083e-99,1.61575547642323e-20,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,3.3120153612108297e-98,1.61575547642323e-19
46,47,47,9.798746436681069e-116,1.4605481268799898e-30,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,9.79874643668107e-115,1.4605481268799897e-29
47,48,48,4.92920351616486e-89,4.21645937324351e-28,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,4.92920351616486e-88,4.21645937324351e-27
48,49,49,1.79728729394948e-93,2.64808714255325e-26,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.79728729394948e-92,2.6480871425532496e-25
49,50,50,1.3280294548528302e-112,4.83474513296516e-23,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.3280294548528302e-111,4.83474513296516e-22
50,51,51,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
51,52,52,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
52,53,53,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
53,54,54,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
54,55,55,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
55,56,56,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
56,57,57,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
