"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE"
"1","Hunting",0,"P","standard_context","Q-P","regime_comtext","linear",0.00859077673030456,0.00990666135097698,0.00131588462067242,-27.9589429741773,-32.3768571481796,-4.41791417400236
"2","Hunting",0,"P","standard_context","Q-P","regime_comtext","nonlinear",0.00947935429345334,0.0107025975415589,0.00122324324810552,-30.927162494103,-35.0556890431035,-4.12852654900053
"3","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","linear",0.00859077673030456,0.00825576107260184,-0.00033501565770272,-27.9589429741773,-26.8478919777153,1.11105099646193
"4","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","nonlinear",0.00947935429345334,0.00945337667983215,-2.5977613621192e-05,-30.927162494103,-30.8458560943836,0.081306399719324
"5","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","linear",0.00859077673030456,0.00793323104788515,-0.000657545682419408,-27.9589429741773,-25.6533276874052,2.30561528677208
"6","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","nonlinear",0.00947935429345334,0.0091826058896059,-0.000296748403847441,-30.927162494103,-29.7986978383888,1.1284646557142
"7","Gathering",1,"P","standard_context","P-P","regime_comtext","linear",0.00877296095502067,0.000597846999541601,-0.00817511395547907,-23.7563161046255,-1.35662560015226,22.3996905044733
"8","Gathering",1,"P","standard_context","P-P","regime_comtext","nonlinear",0.00888616828486485,0.00145852660546392,-0.00742764167940094,-23.8118726346911,-3.07447710536326,20.7373955293278
"9","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","linear",0.00877296095502067,0.00717819671675535,-0.00159476423826532,-23.7563161046255,-19.1673992178803,4.58891688674521
"10","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","nonlinear",0.00888616828486485,0.00823195866692925,-0.000654209617935608,-23.8118726346911,-22.0088768229689,1.80299581172221
"11","Gathering",1,"P","standard_context","textFillP-P","text_control_context","linear",0.00877296095502067,0.00563126342423134,-0.00314169753078933,-23.7563161046255,-14.6787076140354,9.07760849059014
"12","Gathering",1,"P","standard_context","textFillP-P","text_control_context","nonlinear",0.00888616828486485,0.00683819738522717,-0.00204797089963768,-23.8118726346911,-17.7069779658577,6.10489466883337
