"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE"
"1","Hunting",0,"P","standard_context","Q-P","regime_comtext","linear",0.00872286264404648,0.00991809577448241,0.00119523313043593,-28.673988588771,-32.6181493623117,-3.94416077354072
"2","Hunting",0,"P","standard_context","Q-P","regime_comtext","nonlinear",0.00941877764595211,0.0106743262558774,0.00125554860992533,-31.0187932293284,-35.1772515596222,-4.1584583302938
"3","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","linear",0.00872286264404648,0.00844551644234384,-0.000277346201702638,-28.673988588771,-27.755985757005,0.918002831765989
"4","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","nonlinear",0.00941877764595211,0.00946218074812474,4.34031021726289e-05,-31.0187932293284,-31.1842817163233,-0.165488486994946
"5","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","linear",0.00872286264404648,0.00806936248984227,-0.000653500154204206,-28.673988588771,-26.4540730636691,2.2199155251019
"6","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","nonlinear",0.00941877764595211,0.00929228489958686,-0.000126492746365253,-31.0187932293284,-30.5674669801811,0.451326249147314
"7","Gathering",1,"P","standard_context","P-P","regime_comtext","linear",0.00813993189322423,0.000772341230095563,-0.00736759066312867,-22.3106496658384,-1.88369682708799,20.4269528387504
"8","Gathering",1,"P","standard_context","P-P","regime_comtext","nonlinear",0.00867324652351323,0.00421677710240717,-0.00445646942110606,-23.6915538822432,-10.3819742482829,13.3095796339603
"9","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","linear",0.00813993189322423,0.00806200854022604,-7.79233529981938e-05,-22.3106496658384,-22.021652880032,0.288996785806376
"10","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","nonlinear",0.00867324652351323,0.0098514886511008,0.00117824212758758,-23.6915538822432,-27.1385871670536,-3.44703328481046
"11","Gathering",1,"P","standard_context","textFillP-P","text_control_context","linear",0.00813993189322423,0.00591196958099907,-0.00222796231222516,-22.3106496658384,-15.904058299504,6.4065913663344
"12","Gathering",1,"P","standard_context","textFillP-P","text_control_context","nonlinear",0.00867324652351323,0.00682335876185106,-0.00184988776166217,-23.6915538822432,-18.2987149739711,5.3928389082721
"13","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","linear",0.00283211927211661,-0.000223025159464985,-0.0030551444315816,-4.60119654436585,0.39674952349651,4.99794606786236
"14","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","nonlinear",0.00302099815204022,0.00244332735096016,-0.000577670801080066,-4.89880705198993,-3.73741838710066,1.16138866488927
"15","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","linear",0.00283211927211661,0.00221513892322679,-0.000616980348889823,-4.60119654436585,-3.54910728666709,1.05208925769875
"16","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","nonlinear",0.00302099815204022,0.00275606461200055,-0.000264933540039675,-4.89880705198993,-4.4002074809141,0.498599571075829
"17","Hunting",1,"P","standard_context","textFillQfr-textFillP-textFillQ-P","text_control_context","linear",0.00283211927211661,0.0026005695612661,-0.000231549710850515,-4.60119654436585,-4.20891633693918,0.392280207426666
"18","Hunting",1,"P","standard_context","textFillQfr-textFillP-textFillQ-P","text_control_context","nonlinear",0.00302099815204022,0.00306622876419207,4.52306121518503e-05,-4.89880705198993,-4.92313931031822,-0.0243322583282861
"19","Gathering",1,"P","standard_context","instFirstReadP-P","prompt_regime_comtext","linear",0.00813993189322423,0.00724184906117842,-0.000898082832045816,-22.3106496658384,-19.8289349486186,2.4817147172198
"20","Gathering",1,"P","standard_context","instFirstReadP-P","prompt_regime_comtext","nonlinear",0.00867324652351323,0.00824279908689693,-0.000430447436616299,-23.6915538822432,-22.3864966524216,1.30505722982161
"21","Hunting",0,"P","standard_context","instFirstReadP-Q-P","prompt_regime_comtext","linear",0.00872286264404648,0.00996808737654878,0.0012452247325023,-28.673988588771,-32.8183981695638,-4.14440958079285
"22","Hunting",0,"P","standard_context","instFirstReadP-Q-P","prompt_regime_comtext","nonlinear",0.00941877764595211,0.0107570299202545,0.00133825227430237,-31.0187932293284,-35.4907304190147,-4.47193718968629
"23","Gathering",1,"P","standard_context","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","linear",0.00813993189322423,0.000527160088732104,-0.00761277180449213,-22.3106496658384,-1.1726946006529,21.1379550651855
"24","Gathering",1,"P","standard_context","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","nonlinear",0.00867324652351323,0.00353016154698632,-0.00514308497652691,-23.6915538822432,-8.24573126126415,15.445822620979
"25","Hunting",1,"P","standard_context","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","linear",0.00283211927211661,-0.000345629235085979,-0.00317774850720259,-4.60119654436585,0.623475427225458,5.22467197159131
"26","Hunting",1,"P","standard_context","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","nonlinear",0.00302099815204022,0.00139243848898922,-0.001628559663051,-4.89880705198993,-2.07912582932659,2.81968122266335
"27","Hunting",0,"Q-P","regime_comtext","instFirstReadP-Q-P","prompt_regime_comtext","linear",0.00991809577448241,0.00996808737654878,4.99916020663682e-05,-32.6181493623117,-32.8183981695638,-0.200248807252137
"28","Hunting",0,"Q-P","regime_comtext","instFirstReadP-Q-P","prompt_regime_comtext","nonlinear",0.0106743262558774,0.0107570299202545,8.27036643770429e-05,-35.1772515596222,-35.4907304190147,-0.31347885939249
"29","Gathering",1,"P-P","regime_comtext","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","linear",0.000118828307772406,0.000527160088732104,0.000408331780959698,-0.0618784180096554,-1.1726946006529,-1.11081618264325
"30","Gathering",1,"P-P","regime_comtext","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","nonlinear",0.00470597253784757,0.00353016154698632,-0.00117581099086125,-12.1682465690847,-8.24573126126415,3.9225153078205
"31","Hunting",1,"Qfr-P-Q-P","regime_comtext","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","linear",0.000890879392609734,-0.000345629235085979,-0.00123650862769571,-1.32360891237749,0.623475427225458,1.94708433960295
"32","Hunting",1,"Qfr-P-Q-P","regime_comtext","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","nonlinear",0.00250517401901601,0.00139243848898922,-0.00111273553002679,-3.82231108827909,-2.07912582932659,1.74318525895251
