"","m","upper","lower","norm_upper","norm_lower","w_norm_CI","w_new_CI","has_preview_condition","reread_condition","linear","new_p_val","n_sim"
"1",8.43476316765826e-05,0.000126553644070853,4.39360921119334e-05,0.000126653142078711,4.20421212744548e-05,8.46110208042558e-05,8.26175519589199e-05,"Gathering",1,"linear",0.001,1000
"2",4.07481905626254e-05,0.000250411489521306,-0.000154514474769712,0.000257651242145745,-0.000176154861020494,0.000433806103166239,0.000404925964291017,"Gathering",1,"nonlinear",0.724,1000
"3",0.000222742132144558,0.000290829655382787,0.000153036461250351,0.000290725470467433,0.000154758793821683,0.00013596667664575,0.000137793194132436,"Hunting",1,"linear",0.001,1000
"4",0.000104547428265017,0.000237804295153723,-3.78827762744595e-05,0.000246530048786611,-3.74351922565778e-05,0.000283965241043189,0.000275687071428183,"Hunting",1,"nonlinear",0.151,1000
