"","m","upper","lower","norm_upper","norm_lower","w_norm_CI","w_new_CI","has_preview_condition","reread_condition","linear","new_p_val","n_sim"
"1",0.00159696095911279,0.00175701331484553,0.00144123059621106,0.00175157478771044,0.00144234713051514,0.000309227657195302,0.000315782718634468,"Gathering",0,"linear",0.001,1000
"2",0.00174520348209058,0.00190495822115586,0.00159411060922994,0.00190428549143189,0.00158612147274928,0.000318164018682606,0.000310847611925922,"Gathering",0,"nonlinear",0.001,1000
"3",0.00159696095911279,0.00175701331484553,0.00144123059621106,0.00175157478771044,0.00144234713051514,0.000309227657195302,0.000315782718634468,"Gathering",0,"linear",0.001,1000
"5",0.00159696095911279,0.00175701331484553,0.00144123059621106,0.00175157478771044,0.00144234713051514,0.000309227657195302,0.000315782718634468,"Gathering",0,"linear",0.001,1000
"7",0.000787287718538915,0.00105707307821682,0.000523581803356492,0.00105568118571051,0.000518894251367317,0.000536786934343197,0.000533491274860327,"Gathering",1,"linear",0.001,1000
"8",0.000898630146021184,0.00117459243231828,0.00060683480464029,0.00118103155074136,0.000616228741301005,0.00056480280944036,0.000567757627677988,"Gathering",1,"nonlinear",0.001,1000
"9",0.000787287718538915,0.00105707307821682,0.000523581803356492,0.00105568118571051,0.000518894251367317,0.000536786934343197,0.000533491274860327,"Gathering",1,"linear",0.001,1000
"11",0.000787287718538915,0.00105707307821682,0.000523581803356492,0.00105568118571051,0.000518894251367317,0.000536786934343197,0.000533491274860327,"Gathering",1,"linear",0.001,1000
"13",0.00113629266723543,0.00127952559491762,0.000993747558989936,0.00128226668347774,0.000990318650993114,0.000291948032484629,0.00028577803592768,"Hunting",0,"linear",0.001,1000
"14",0.00141782819143923,0.00157559521573724,0.00125231042845981,0.0015707326440778,0.00126492373880066,0.00030580890527714,0.00032328478727743,"Hunting",0,"nonlinear",0.001,1000
"15",0.00113629266723543,0.00127952559491762,0.000993747558989936,0.00128226668347774,0.000990318650993114,0.000291948032484629,0.00028577803592768,"Hunting",0,"linear",0.001,1000
"17",0.00113629266723543,0.00127952559491762,0.000993747558989936,0.00128226668347774,0.000990318650993114,0.000291948032484629,0.00028577803592768,"Hunting",0,"linear",0.001,1000
"19",0.000323093207517612,0.00055880750855248,0.000111298949788862,0.000541706752277199,0.000104479662758025,0.000437227089519174,0.000447508558763618,"Hunting",1,"linear",0.006,1000
"20",0.000462817442696496,0.000688653209003104,0.000216517216048168,0.000699072792729188,0.000226562092663804,0.000472510700065384,0.000472135992954936,"Hunting",1,"nonlinear",0.002,1000
"21",0.000323093207517612,0.00055880750855248,0.000111298949788862,0.000541706752277199,0.000104479662758025,0.000437227089519174,0.000447508558763618,"Hunting",1,"linear",0.006,1000
"23",0.000323093207517612,0.00055880750855248,0.000111298949788862,0.000541706752277199,0.000104479662758025,0.000437227089519174,0.000447508558763618,"Hunting",1,"linear",0.006,1000
