,has_preview_condition,reread_condition,linear,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,Gathering,0,linear,2.7420975311490336e-133,4.1119540446660084e-20,***,***,180,90,180,125,30,30
1,Gathering,0,nonlinear,0.0,0.0,***,***,260,90,260,125,30,30
2,Gathering,1,linear,8.937412629234821e-12,0.1786197757993893,***,(.),180,550,180,585,30,30
3,Gathering,1,nonlinear,0.0,0.007775234090118419,***,**,260,550,260,585,30,30
4,Hunting,0,linear,1.2876727275806859e-80,8.737614282733571e-20,***,***,670,90,670,125,30,30
5,Hunting,0,nonlinear,0.0,0.0,***,***,750,90,750,125,30,30
6,Hunting,1,linear,0.009777649009318462,0.4745477779443636,**,(.),670,550,670,585,30,30
7,Hunting,1,nonlinear,0.009288512143200981,0.2040416561840877,**,(.),750,550,750,585,30,30
