"","m","upper","lower","norm_upper","norm_lower","w_norm_CI","w_new_CI","has_preview_condition","reread_condition","linear","new_p_val","n_sim"
"1",0.00135543531498427,0.00150298692974467,0.00121152902233397,0.00150785811575703,0.0012030125142115,0.00030484560154553,0.0002914579074107,"Gathering",0,"linear",0.001,1000
"2",0.00161639379120325,0.00177693597551093,0.00145590211532337,0.00177397801228527,0.00145880957012123,0.000315168442164043,0.000321033860187559,"Gathering",0,"nonlinear",0.001,1000
"3",0.00135543531498427,0.00150298692974467,0.00121152902233397,0.00150785811575703,0.0012030125142115,0.00030484560154553,0.0002914579074107,"Gathering",0,"linear",0.001,1000
"5",0.00135543531498427,0.00150298692974467,0.00121152902233397,0.00150785811575703,0.0012030125142115,0.00030484560154553,0.0002914579074107,"Gathering",0,"linear",0.001,1000
"7",0.000486816356053252,0.000776142478898794,0.000203246077073153,0.00075229298677521,0.000221339725331293,0.000530953261443917,0.00057289640182564,"Gathering",1,"linear",0.001,1000
"8",0.00056138486365243,0.000840714240794067,0.000272689206702348,0.000839188021385502,0.000283581705919358,0.000555606315466144,0.000568025034091718,"Gathering",1,"nonlinear",0.001,1000
"9",0.000486816356053252,0.000776142478898794,0.000203246077073153,0.00075229298677521,0.000221339725331293,0.000530953261443917,0.00057289640182564,"Gathering",1,"linear",0.001,1000
"11",0.000486816356053252,0.000776142478898794,0.000203246077073153,0.00075229298677521,0.000221339725331293,0.000530953261443917,0.00057289640182564,"Gathering",1,"linear",0.001,1000
"13",0.001017003746568,0.00117149389851025,0.000871656619455907,0.00116318685902168,0.000870820634114329,0.000292366224907349,0.000299837279054344,"Hunting",0,"linear",0.001,1000
"14",0.00126884372842868,0.00142293954588339,0.00110809218293119,0.00142152617426938,0.00111616128258799,0.000305364891681389,0.000314847362952203,"Hunting",0,"nonlinear",0.001,1000
"15",0.001017003746568,0.00117149389851025,0.000871656619455907,0.00116318685902168,0.000870820634114329,0.000292366224907349,0.000299837279054344,"Hunting",0,"linear",0.001,1000
"17",0.001017003746568,0.00117149389851025,0.000871656619455907,0.00116318685902168,0.000870820634114329,0.000292366224907349,0.000299837279054344,"Hunting",0,"linear",0.001,1000
"19",0.000192600216145407,0.000430983222656542,-6.2646767085564e-05,0.000430102819380086,-4.49023870892723e-05,0.000475005206469359,0.000493629989742106,"Hunting",1,"linear",0.137,1000
"20",0.000388109332619186,0.000632958158611194,0.000151285634088854,0.000641494352649197,0.000134724312589176,0.000506770040060021,0.00048167252452234,"Hunting",1,"nonlinear",0.003,1000
"21",0.000192600216145407,0.000430983222656542,-6.2646767085564e-05,0.000430102819380086,-4.49023870892723e-05,0.000475005206469359,0.000493629989742106,"Hunting",1,"linear",0.137,1000
"23",0.000192600216145407,0.000430983222656542,-6.2646767085564e-05,0.000430102819380086,-4.49023870892723e-05,0.000475005206469359,0.000493629989742106,"Hunting",1,"linear",0.137,1000
