"","X","has_preview_condition","reread_condition","linear","p_val","surp_column","model_id","model_family","model_size","model_size_milions","model_name_with_size","ppl"
"14",2,"Gathering",1,"nonlinear",0.349,"EleutherAI-gpt-neo-2.7B-Surprisal-Context-P","EleutherAI-gpt-neo-2.7B","GPT-Neo","2.7B",270,"2.7B GPT-Neo",17.5315685272217
"15",3,"Hunting",0,"nonlinear",0.004,"EleutherAI-gpt-neo-2.7B-Surprisal-Context-P","EleutherAI-gpt-neo-2.7B","GPT-Neo","2.7B",270,"2.7B GPT-Neo",17.5315685272217
"16",4,"Hunting",1,"nonlinear",0.188,"EleutherAI-gpt-neo-2.7B-Surprisal-Context-P","EleutherAI-gpt-neo-2.7B","GPT-Neo","2.7B",270,"2.7B GPT-Neo",17.5315685272217
"17",1,"Gathering",0,"nonlinear",0.006,"EleutherAI-pythia-1.4b-Surprisal-Context-P","EleutherAI-pythia-1.4b","Pythia","1.4B",1400,"1.4B Pythia",17.6976585388184
"18",2,"Gathering",1,"nonlinear",0.503,"EleutherAI-pythia-1.4b-Surprisal-Context-P","EleutherAI-pythia-1.4b","Pythia","1.4B",1400,"1.4B Pythia",17.6976585388184
"19",3,"Hunting",0,"nonlinear",0.057,"EleutherAI-pythia-1.4b-Surprisal-Context-P","EleutherAI-pythia-1.4b","Pythia","1.4B",1400,"1.4B Pythia",17.6976585388184
"20",4,"Hunting",1,"nonlinear",0.287,"EleutherAI-pythia-1.4b-Surprisal-Context-P","EleutherAI-pythia-1.4b","Pythia","1.4B",1400,"1.4B Pythia",17.6976585388184
"21",1,"Gathering",0,"nonlinear",0.183,"EleutherAI-pythia-160m-Surprisal-Context-P","EleutherAI-pythia-160m","Pythia","160M",160,"160M Pythia",32.8699836730957
"22",2,"Gathering",1,"nonlinear",0.558,"EleutherAI-pythia-160m-Surprisal-Context-P","EleutherAI-pythia-160m","Pythia","160M",160,"160M Pythia",32.8699836730957
"23",3,"Hunting",0,"nonlinear",0.018,"EleutherAI-pythia-160m-Surprisal-Context-P","EleutherAI-pythia-160m","Pythia","160M",160,"160M Pythia",32.8699836730957
"24",4,"Hunting",1,"nonlinear",0.976,"EleutherAI-pythia-160m-Surprisal-Context-P","EleutherAI-pythia-160m","Pythia","160M",160,"160M Pythia",32.8699836730957
"25",1,"Gathering",0,"nonlinear",0.092,"EleutherAI-pythia-1b-Surprisal-Context-P","EleutherAI-pythia-1b","Pythia","1B",1000,"1B Pythia",19.4280281066895
"26",2,"Gathering",1,"nonlinear",0.428,"EleutherAI-pythia-1b-Surprisal-Context-P","EleutherAI-pythia-1b","Pythia","1B",1000,"1B Pythia",19.4280281066895
"27",3,"Hunting",0,"nonlinear",0.029,"EleutherAI-pythia-1b-Surprisal-Context-P","EleutherAI-pythia-1b","Pythia","1B",1000,"1B Pythia",19.4280281066895
"28",4,"Hunting",1,"nonlinear",0.527,"EleutherAI-pythia-1b-Surprisal-Context-P","EleutherAI-pythia-1b","Pythia","1B",1000,"1B Pythia",19.4280281066895
"29",1,"Gathering",0,"nonlinear",0.029,"EleutherAI-pythia-2.8b-Surprisal-Context-P","EleutherAI-pythia-2.8b","Pythia","2.8B",2800,"2.8B Pythia",15.8276529312134
"30",2,"Gathering",1,"nonlinear",0.567,"EleutherAI-pythia-2.8b-Surprisal-Context-P","EleutherAI-pythia-2.8b","Pythia","2.8B",2800,"2.8B Pythia",15.8276529312134
"31",3,"Hunting",0,"nonlinear",0.007,"EleutherAI-pythia-2.8b-Surprisal-Context-P","EleutherAI-pythia-2.8b","Pythia","2.8B",2800,"2.8B Pythia",15.8276529312134
"32",4,"Hunting",1,"nonlinear",0.192,"EleutherAI-pythia-2.8b-Surprisal-Context-P","EleutherAI-pythia-2.8b","Pythia","2.8B",2800,"2.8B Pythia",15.8276529312134
"33",1,"Gathering",0,"nonlinear",0.018,"EleutherAI-pythia-410m-Surprisal-Context-P","EleutherAI-pythia-410m","Pythia","410M",410,"410M Pythia",22.6070079803467
"34",2,"Gathering",1,"nonlinear",0.745,"EleutherAI-pythia-410m-Surprisal-Context-P","EleutherAI-pythia-410m","Pythia","410M",410,"410M Pythia",22.6070079803467
"35",3,"Hunting",0,"nonlinear",0.025,"EleutherAI-pythia-410m-Surprisal-Context-P","EleutherAI-pythia-410m","Pythia","410M",410,"410M Pythia",22.6070079803467
"36",4,"Hunting",1,"nonlinear",0.317,"EleutherAI-pythia-410m-Surprisal-Context-P","EleutherAI-pythia-410m","Pythia","410M",410,"410M Pythia",22.6070079803467
"37",1,"Gathering",0,"nonlinear",0.004,"EleutherAI-pythia-6.9b-Surprisal-Context-P","EleutherAI-pythia-6.9b","Pythia","6.9B",6900,"6.9B Pythia",14.6314687728882
"38",2,"Gathering",1,"nonlinear",0.258,"EleutherAI-pythia-6.9b-Surprisal-Context-P","EleutherAI-pythia-6.9b","Pythia","6.9B",6900,"6.9B Pythia",14.6314687728882
"39",3,"Hunting",0,"nonlinear",0.013,"EleutherAI-pythia-6.9b-Surprisal-Context-P","EleutherAI-pythia-6.9b","Pythia","6.9B",6900,"6.9B Pythia",14.6314687728882
"40",4,"Hunting",1,"nonlinear",0.118,"EleutherAI-pythia-6.9b-Surprisal-Context-P","EleutherAI-pythia-6.9b","Pythia","6.9B",6900,"6.9B Pythia",14.6314687728882
"41",1,"Gathering",0,"nonlinear",0.191,"EleutherAI-pythia-70m-Surprisal-Context-P","EleutherAI-pythia-70m","Pythia","70M",70,"70M Pythia",48.9940147399902
