"","has_preview_condition","reread_condition","linear","p_val"
"1","Gathering",0,"nonlinear",0.005
"2","Gathering",1,"nonlinear",0.127
"3","Hunting",0,"nonlinear",0.001
"4","Hunting",1,"nonlinear",0.114
