,has_preview_condition,reread_condition,linear,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,Gathering,0,linear,4.62257866114838e-115,5.221679690632304e-21,***,***,180,90,180,125,30,30
1,Gathering,0,nonlinear,0.0,0.0,***,***,260,90,260,125,30,30
2,Gathering,1,linear,5.873835562573103e-11,0.20486607672376253,***,(.),180,550,180,585,30,30
3,Gathering,1,nonlinear,0.0,0.027280118974068457,***,*,260,550,260,585,30,30
4,Hunting,0,linear,6.397554824511927e-76,3.1528519379400298e-18,***,***,670,90,670,125,30,30
5,Hunting,0,nonlinear,0.0,0.0,***,***,750,90,750,125,30,30
6,Hunting,1,linear,0.007404226832724377,0.23679791576552217,**,(.),670,550,670,585,30,30
7,Hunting,1,nonlinear,0.016723874815780276,0.23853199604584613,*,(.),750,550,750,585,30,30
