,has_preview_condition,reread_condition,linear,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,Gathering,0,linear,8.07646884314245e-161,1.6932921706358558e-24,***,***,180,90,180,125,30,30
1,Gathering,0,nonlinear,0.0,0.0,***,***,260,90,260,125,30,30
2,Gathering,1,linear,2.7968659260696084e-13,0.0520800931060709,***,(.),180,550,180,585,30,30
3,Gathering,1,nonlinear,0.0,0.02629472377098583,***,*,260,550,260,585,30,30
4,Hunting,0,linear,2.3229456479263344e-104,4.0349479563298387e-28,***,***,670,90,670,125,30,30
5,Hunting,0,nonlinear,0.0,0.0,***,***,750,90,750,125,30,30
6,Hunting,1,linear,0.00014987329203518439,0.29292218498715816,***,(.),670,550,670,585,30,30
7,Hunting,1,nonlinear,1.5923768126683648e-05,0.13566165457952087,***,(.),750,550,750,585,30,30
