"","has_preview_condition","reread_condition","linear","p_val"
"1","Gathering",0,"nonlinear",0.021
"2","Gathering",1,"nonlinear",0.455
"3","Hunting",0,"nonlinear",0.005
"4","Hunting",1,"nonlinear",0.076
