,has_preview_condition,reread_condition,linear,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,Gathering,0,linear,9.129864360021432e-157,9.124276921934963e-21,***,***,180,90,180,125,30,30
1,Gathering,0,nonlinear,0.0,0.0,***,***,260,90,260,125,30,30
2,Gathering,1,linear,9.623230078628439e-10,0.13472753579136781,***,(.),180,550,180,585,30,30
3,Gathering,1,nonlinear,0.0,0.0012459631146418636,***,**,260,550,260,585,30,30
4,Hunting,0,linear,2.7897129311125547e-90,1.3512649605973311e-27,***,***,670,90,670,125,30,30
5,Hunting,0,nonlinear,0.0,0.0,***,***,750,90,750,125,30,30
6,Hunting,1,linear,0.0006162461513263317,0.5133794281111956,***,(.),670,550,670,585,30,30
7,Hunting,1,nonlinear,0.000595628607700641,0.19495574133445556,***,(.),750,550,750,585,30,30
