,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,has_preview_condition,reread_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,6.88027368695359e-192,2.59693692401318e-19,True,Gathering,0,linear,True,6.88027368695359e-191,2.59693692401318e-18
1,2,3.91839327767403e-184,1.27403935099782e-27,True,Gathering,0,linear,True,3.91839327767403e-183,1.27403935099782e-26
2,3,3.2153622123060897e-164,1.4538407733626e-29,True,Gathering,0,linear,True,3.21536221230609e-163,1.4538407733626e-28
3,4,1.4653405641778e-155,1.1662860317396e-28,True,Gathering,0,linear,True,1.4653405641778e-154,1.1662860317396e-27
4,5,4.6725632214983304e-152,3.12639940943579e-25,True,Gathering,0,linear,True,4.6725632214983304e-151,3.12639940943579e-24
5,6,2.37348448715378e-148,4.1033491156850497e-26,True,Gathering,0,linear,True,2.37348448715378e-147,4.1033491156850497e-25
6,7,7.83548745405276e-172,3.78205097286843e-22,True,Gathering,0,linear,True,7.83548745405276e-171,3.78205097286843e-21
7,8,1.2494820797226699e-158,2.9239461401464898e-28,True,Gathering,0,linear,True,1.24948207972267e-157,2.92394614014649e-27
8,9,3.2849858520151e-182,1.8531342517763302e-19,True,Gathering,0,linear,True,3.2849858520151e-181,1.8531342517763303e-18
9,10,4.02380310397313e-181,3.67261666004825e-30,True,Gathering,0,linear,True,4.02380310397313e-180,3.6726166600482496e-29
10,11,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
11,12,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
12,13,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
13,14,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
14,15,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
15,16,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
16,17,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
17,18,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
